스레드 ID,REF 코드,경계 상태,먼 재등장,미확인 범위,반례,비정사,사용자 확인 필요,상태,원문 위치,원천 레지스트리,유사성 판정,인물·관계·사건·표현,자유 이해,조합 가설,현재 질문,확인 범위
TH-REF24-DLG-04 · 발화 내용과 수용 의미의 분리,REF-24,near-exact,초면의 도발적·탐색적 말투가 후반에는 안부 확인과 실무 조정의 말투로 재등장한다. 표면 리듬은 비슷하지만 공동 기억과 관계 권리가 축적되어 수용 의미가 달라진다.,복원된 227개 단위 전체의 모든 대사와 각 장면의 세부 전후 맥락은 전수 확인하지 않음. 현재 결론은 선택한 초·중·후반 범위에서 반복 확인된 대화 수용 메커니즘에 한정,"명령 전달, 정확한 정보 확인, 의례적 보고처럼 말뜻을 명료하게 유지해야 하는 장면도 있다. 모든 발화에 숨은 뜻이나 오해를 강제로 부여하면 인물은 계속 말싸움만 하게 된다.",Yes,No,VERIFIED_THREAD,"복원 단위 8~10, 79~83, 139~140, 162~163, 228의 대화 장면 대조",REF-24 (https://app.notion.com/p/REF-24-11cbaa79eaae827e806701b29b71afd1?pvs=21),,"발화자 의도와 청자 해석을 분리해 읽는다. 관찰 가능한 표현 단서는 호칭, 높임 단계, 문장 완결/중단, 길이, 반복, 침묵, 질문 회피, 공개/비공개 장소, 발화 직전 행동, 답변 뒤 행동이다. 음성 억양은 본문 단서 없이 추정하지 않는다. 관계의 누적은 같은 표현의 허용 범위와 의미를 바꾼다.","REF-24의 대화는 말뜻을 발화문 안에 고정하지 않는다. 청자는 어휘와 높임만 듣는 것이 아니라 지금 왜 이 말을 하는지, 누가 보는 앞인지, 이 사람이 나에게 이런 말을 할 권리가 있는지, 내가 이 사람을 무엇으로 알고 있었는지를 함께 계산한다. 그래서 칭찬은 작업·시험·진심으로, 공손한 조언은 충성·월권·도전으로, 익숙한 독설은 적대·안도·돌봄으로 달리 수용된다.",,같은 말의 사전적 내용이 표현·타이밍·청중·관계·선입견에 따라 어떻게 전혀 다른 뜻으로 받아들여지는가?,"초반의 칭찬·공손한 조언·직무 대화, 중반의 탐색형 잡담·책임 전가/협상, 후반의 부상 뒤 익숙한 독설·침묵·직접 인정, 종반의 생활화된 실무적 핀잔을 교차 확인"
TH-REF24-DLG-05 · 청자별 수용 분기와 후속 행동,REF-24,near-exact,"초반에는 대사를 통해 상대 정체와 위험도를 재분류하고, 후반에는 같은 방식의 건조한 반응이 관계 유지와 실무 협력으로 이어진다. 청자 반응의 습관도 캐릭터 연속성으로 누적된다.",모든 청자 조합과 모든 발화 유형을 전수 분류하지 않음. 현재는 선택 범위에서 행동 변화까지 확인 가능한 사례에 집중,즉답이 필요한 위기·작전·보고 장면에서는 해석 분기를 길게 늘리면 속도와 정보 정확도가 무너진다. 또한 침묵이 언제나 깊은 뜻을 갖는 것은 아니다.,Yes,No,VERIFIED_THREAD,"복원 단위 8~10, 79~83, 139~140, 162~163, 228의 반응·후속 행동 대조",REF-24 (https://app.notion.com/p/REF-24-11cbaa79eaae827e806701b29b71afd1?pvs=21),,"청자는 literal reply, 의도에 답하기, 프레임 거부, 오해, 침묵, 지연 수용, 행동으로 답하기 중 하나를 선택한다. 제삼자는 같은 말을 체면 싸움이나 위계 신호로 다르게 볼 수 있다. 이후 사건과 관계 변화가 어느 해석이 우세했는지를 누적 증명한다.","뉘앙스는 형용사 하나가 아니라 수용 결과의 차이다. 같은 문자 내용도 청자의 지식·욕망·체면·두려움·관계 기억에 따라 다른 행동을 낳는다. 장면은 답변 한 줄에서 끝나지 않고 누가 일을 떠맡았는지, 누가 침묵했는지, 누가 남거나 떠났는지까지 이어져야 해석이 검증된다.",,발화의 뉘앙스를 작가의 설명이 아니라 청자의 반응과 이후 행동으로 어떻게 판별하고 누적시키는가?,"초반의 오인과 지위 갈등, 중반의 계약·업무 전환, 후반의 불안 은폐와 신뢰 확인, 종반의 친밀한 실무 교정까지 반응→행동의 연쇄 확인"
TH-REF24-DLG-02 · 반복 농담의 관계 변주,REF-24,near-exact,첫 대면에서 불쾌함을 드러내던 건조한 재분류가 162의 병상 재회에서는 상대가 예전 상태로 돌아왔음을 확인하는 안도 신호로 바뀐다. 228에서는 관계가 극도로 장기화된 뒤에도 이 역할이 사라지지 않고 실무 조언과 친밀한 거절의 형태로 남는다.,모든 반복 호칭과 농담의 최초 발생·전체 변형을 전수 조사하지 않음. 다른 인물 조합에 동일한 변주가 적용되는지는 별도 스레드 필요.,반복 농담이 있다는 이유만으로 관계가 깊은 것은 아니다. 새로운 사건과 관계 이동 없이 같은 놀림만 되풀이하면 캐릭터가 유행어 기계로 굳는다. 큰 상처나 권력 침해 직후 상대가 농담을 받아줄 근거가 없는데도 평소 리듬을 강제하면 폭력과 불쾌를 가린다.,Yes,No,VERIFIED_THREAD,"복원 단위 79~83, 139~140, 162~163, 228. 원문 줄 21935~23009, 39498~39624, 46583~46850, 66101~66141.",REF-24 (https://app.notion.com/p/REF-24-11cbaa79eaae827e806701b29b71afd1?pvs=21),,"초기 B는 A의 호칭 장난과 수다를 거절하며 자신이 쉽게 휘둘리지 않는다는 선을 긋는다. 중기 B는 A의 위험한 선택을 비판하고, A는 그 반박을 능력 시험과 임무 부여로 전환한다. 위험 이후 A가 일부러 평소의 장난을 걸고 B가 익숙한 독설로 되받는 순간, 독자는 대사 내용보다 관계 리듬의 복원을 읽는다. 이후 짧은 인정이 들어가면서 같은 공방이 더 이상 적대가 아니라 신뢰를 견디는 그릇이 된다.",반복 농담의 맛은 같은 문구를 재사용하는 데 있지 않고 관계가 달라질수록 발화의 위험과 수용 방식이 바뀌는 데 있다. 초기의 비꼼은 경계와 거리 확보다. 중기에는 주인공의 과잉과 윤리적 위험을 제어하는 직무적 반박이 된다. 큰 위험 뒤 재회에서는 평소의 비꼼을 다시 수행할 수 있다는 사실 자체가 생존과 원래 인격의 확인이 된다. 장기 관계에서는 농담이 업무 조율과 친밀한 체면 보존을 동시에 담당한다.,,같은 종류의 비꼼과 호칭이 적대·신뢰·친밀 단계에서 어떻게 다른 감정 기능을 갖는가?,"첫 적대·계약, 중기 가치 충돌·업무 권한, 중상 후 재회, 장기 실무 관계의 네 시점을 대조."
TH-REF24-DLG-03 · 농담 뒤 진심과 행동 정산,REF-24,near-exact,"초기에는 농담 뒤 고용·협력 조건이 붙고, 중기에는 반박 뒤 업무 권한과 책임이 붙는다. 162~163에서는 공방 뒤 직접 인정과 향후 협력 약속이 온다. 장기적으로 농담이 관계를 대신하지 않고 관계 변화의 진입로 역할을 유지한다.","전투 중 군중 농담, 집단 희극, 연애·성적 농담의 전체 변형은 현재 카드의 적용 범위에서 제외.",일상적 안부나 공식 정보 전달처럼 정산할 갈등이 없는 대화는 농담 뒤 행동 변화를 억지로 만들지 않는다. 또한 심각한 상처·강압·권력 침해를 농담으로 덮고 사과나 책임을 생략하면 이 메커니즘이 아니라 관계 피해의 은폐가 된다.,Yes,No,VERIFIED_THREAD,"복원 단위 79~83의 계약·협상, 139~140의 가치 충돌과 임무, 162~163의 병상 재회와 인정. 반례로 8~10의 공식 대화.",REF-24 (https://app.notion.com/p/REF-24-11cbaa79eaae827e806701b29b71afd1?pvs=21),,"A는 농담으로 분위기와 자기 불안을 조절하지만 B는 웃음만 제공하지 않고 조건과 판단을 돌려준다. 중기 가치 충돌에서도 B의 반박은 감탄이나 패배로 끝나지 않고 A가 책임과 자원을 넘기는 계기가 된다. 위험 후 재회에서는 익숙한 말싸움이 정서적 안전을 먼저 회복하고, 이어지는 짧은 인정이 관계의 새 상태를 확정한다. 지문은 대사의 뜻을 반복하기보다 몸 상태, 멈춘 행동, 실제 업무 인수로 변화를 보여준다.","이 작품의 농담은 장면을 멈추는 장식이 아니라 어려운 진심이나 위험한 요구를 통과시키는 완충 구간이다. 그러나 농담만으로 감정을 대신하지 않는다. 충분한 공방 뒤에는 계약 기간, 업무 범위, 예산, 정보 공개, 인정, 사과처럼 되돌릴 수 있는 구체 변화가 온다. 진심은 공방보다 짧고 직접적이며, 그 직후 상대의 표정만이 아니라 수락·거절·임무 수행·관계 권리의 변화가 뒤따른다.",,농담의 가벼움을 유지하면서 어떻게 진심·책임·사건 진행까지 연결하는가?,계약·협상·임무 부여·병상 재회 등 농담 뒤 실제 정산이 있는 연속 장면을 초·중·후반에서 대조.
TH-REF24-DLG-01 · 농담형 공방의 층위,REF-24,near-exact,162~163에서 위험을 넘긴 뒤 초기부터 쓰던 건조한 비꼼과 수다 분류가 안도 확인으로 재사용된다. 228에서는 지위와 관계가 크게 달라진 뒤에도 상대가 주인공의 사기·허세를 실무적으로 분류하는 역할이 남아 있다. 표면 리듬은 익숙하지만 기능은 적대적 견제에서 건강 확인·친밀한 교정·실무 보완으로 이동한다.,나머지 복원 단위 전체의 모든 대화 조합과 성별·연애·집단별 변형은 이번 질문에서 재독하지 않음. 특정 어휘·욕설·성적 농담의 빈도나 효과는 일반화하지 않음.,"8~10의 공식 알현·군사 정보 교환은 상당 부분 담백하고 기능적이다. 작품은 모든 대사를 농담으로 만들지 않는다. 지위 차가 크거나 정보 정확성이 우선인 장면, 상대가 농담에 참여할 관계 권리가 없는 장면에서는 말맛을 절제한다. 따라서 ‘양쪽이 항상 반격한다’는 규칙은 성립하지 않는다.",Yes,No,VERIFIED_THREAD,"복원 단위 79~83 중심, 139~140·162~163·228 대조. 원문 줄 21935~23009, 39498~39624, 46583~46850, 66101~66141.",REF-24 (https://app.notion.com/p/REF-24-11cbaa79eaae827e806701b29b71afd1?pvs=21),,"인물 A는 불리한 분위기와 자기 불안을 가벼운 화제로 덮으면서 상대의 반응을 수집한다. 인물 B는 그 화제를 그대로 받지 않고 A의 수다·허세·계산을 분류해 되돌려준다. 초기에는 적대와 경계가 강해 짧은 거절과 냉소가 많고, 관계가 쌓인 뒤에는 같은 종류의 비꼼이 안부 확인과 걱정 은폐로 바뀐다. 표현상 핵심은 짧은 농담 자체가 아니라 표면 화제, 숨은 탐침, 상대의 재분류, 즉각 반응, 다음 행동이 한 흐름으로 이어지는 데 있다.","이 작품의 농담은 승패를 가르는 말싸움보다 상대를 시험하고 관계의 허용 범위를 재는 접촉에 가깝다. 한쪽이 장난스러운 호칭·과장·엉뚱한 화제로 프레임을 만들면 상대는 정색만 하지 않고 직업적 관찰, 건조한 재분류, 조건 제시로 되받는다. 웃음은 두 사람이 서로를 다르게 읽는 틈에서 생기며, 공격의 세기는 현재 지위·불신·친밀도에 따라 달라진다. 상대가 실제로 불쾌하거나 위험한 선을 넘으면 농담이 멈추고 조건·사과·명령·거절 같은 현실 행동으로 전환된다.",,농담형 대화가 어떻게 단순 말다툼이 되지 않고 재미·인물성·관계 정보를 동시에 만드는가?,"초기 공식·군사 대화 8~10, 첫 대면·계약 79~83, 중기 가치 충돌 139~140, 중상 이후 재회 162~163, 장기 관계 상태 228을 근접 독해."
TH-REF19-DLG-01 · 제도적 문장의 이중 기능,REF-19,near-exact,복원 단위 181에서 협박을 ‘서로 돕는 제안’으로 바꾸며 청자의 선택 범위를 다시 설계한다.,"복원 단위 2~180의 제도 언어 변주와, 말에 속지 않거나 공개적으로 거부하는 청자의 반례",모든 완곡한 문장이 강제인 것은 아니다. 상호 신뢰가 쌓인 관계의 농담과 제안은 실제 선택권을 남기기도 한다.,Yes,No,VERIFIED_SCENE,복원 단위 1 · 원문 8~385행,REF-19 (https://app.notion.com/p/REF-19-4dbbaa79eaae8239b6f48153fb46987e?pvs=21),,"발화 의도=저항 차단과 자백 유도. 청자 수용=무죄 항변에서 횡령 자백과 매수 제안으로 이동. 후속 행동=수색 강도 상승, 조작 증거 제시, 처형. 지문은 주인공의 내적 냉소와 수하들의 복창·가구 파괴를 끼워 넣어 말의 공식성과 실제 폭력의 간극을 보이게 한다.","표면상 공정한 협조 요청이 실제로는 집을 부수고 압박해 별개의 죄를 자백시키는 강제 장치다. 주인공은 상대가 진짜 첩자가 아님을 알면서도 조직의 정당한 문장과 절차를 빌려 제거한다. 말의 뜻은 협조·무죄 확인이지만 장면의 기능은 공포·자백·살해 명분 생산이다. 직후 주인공 자신이 첩자임이 밝혀져, 같은 문장이 직업적 위장과 자기모순까지 함께 드러낸다.",,이 작품은 이후에도 공적 명분의 문장을 사적 목적과 조직 권력의 실행 장치로 반복하는가?,초반 방첩 수색·심문·숙청 장면과 직후 정체 반전
TH-REF08-REL-01 · 질문 난이도와 책임 이동이 협업 관계를 바꾼다,REF-08,exact,"초기의 생활·법적 질문이 U0036~0037에서는 국가 단위의 구조적 질문으로 커지고, 제안자가 혼자 답할 수 없는 영역을 인정하게 한다.",중후반 갈등·실망·권한 충돌과 관계의 최종 형태,질문이 모두 정답 제시를 위한 발판이라면 관계 변화가 아니라 설명의 분할에 불과하다.,Yes,No,VERIFIED_THREAD,U0002~0004 · U0036~0037,REF-08 (https://app.notion.com/p/REF-08-736baa79eaae8216b39f01ee4a4ab92e?pvs=21),,"인물: 발명자는 설명자에서 수정 책임자로, 통치자는 수동 승인자에서 학습·판단자로 변한다. 관계: 친밀함과 권력 차이가 질문을 막지 않고 역할을 분화한다. 사건: 반문·재설계·전문가 검토·시험 시행이 관계 변화를 낳는다. 표현: 감정 서술보다 누가 누구에게 어떤 난도의 문제를 돌려주는지로 관계를 보인다.","협업 관계의 성장은 호칭이나 호감보다 질문의 질로 드러난다. 상대는 처음에는 안전과 합법성을 묻고, 이후에는 자본·인력·교육·엘리트 포획처럼 더 어려운 문제를 맡긴다. 질문이 깊어질수록 책임과 신뢰도 이동한다.",,질문받는 쪽이 거절하거나 모른다고 말한 뒤에도 신뢰가 유지되는 장면이 있는가?,"초기 친족·고객 관계, 통치자와 제안자의 정책 협업 시작"
TH-REF01-WLD-01 · 가격·계약·시간이 세계를 생활로 만드는 방식,REF-01,exact,초반의 5개 영석 조각 미끼와 후반의 수백 영석 전액 투자는 자원 규모가 달라도 불확실성을 비용으로 관리하는 습관을 연결한다.,26~379의 조직 생활·도시 이동·자원 인플레이션·생활 지속성,숫자가 많아도 다음 선택을 바꾸지 않으면 회계 보고에 그친다. 모든 문제를 비용 효율로만 환산하면 윤리·관계·감정이 눌릴 수 있다.,Yes,No,VERIFIED_THREAD,"제공본 5~6 · 19~20 · 원문 1717~2436, 7087~7960행",REF-01 (https://app.notion.com/p/REF-01-b1ebaa79eaae82449d4781d49d57197f?pvs=21),,설정→계산→선택의 순서가 반복된다. 30년·재료 수백 장·하루 20분·매입가 비율 같은 수치는 장식이 아니라 인물의 수련 우선순위와 위험 감수선을 바꾼다. 상인의 친절·문지기의 압박·점포의 무시는 각자의 경제적 이해와 공간 규칙에 맞춰 달라진다.,"세계관은 계급과 제도를 설명하는 명사 목록보다 주인공이 포기하는 시간과 감수하는 가격으로 체화된다. 조직 계약은 월봉보다 30년의 수련 가능 시기를 빼앗는 것이 핵심 비용이다. 기술직은 재능 설명보다 연습 재료의 초기 자본으로 막힌다. 새 영전에서는 비싼 작물보다 관리 시간이 적은 작물을 고르고, 수익이 나지 않는 독 검사용 씨앗에 돈을 쓴다. 살해 보상도 곧바로 자산이 되지 않고 추적 제거·변장·낮은 장물 매입가를 통과한다.",,"자원이 폭증한 뒤에도 가격·관리 시간·노출 비용이 선택을 제한하는가, 아니면 생활 세계가 수치 생산 배경으로 사라지는가?","문파 노동 계약, 기술직 초기 자본, 법술 가격과 부분 학습, 농사 관리 시간, 독 검사 비용, 장물 처리"
TH-REF16-ABS-01 · 부재가 타인의 일과 귀환 재분류를 만든다,REF-16,exact,"U0300의 이탈·귀환이 U0550의 집단적 부재 대응, U0852의 이름과 정체 재호명으로 확대된다.",선택 창 사이의 연속 회차. U0550 이후는 본편 종결부와 외전이 섞이므로 분리 독해 필요. U0852는 저장본 최신 경계이며 외전 종결로 단정하지 않음.,부재를 슬픔과 회상으로만 소비하거나 귀환 즉시 모든 권한을 원상복구하면 타인의 독립 서사는 사라진다.,Yes,No,VERIFIED_THREAD,U0300 → U0550 → U0852,REF-16 (https://app.notion.com/p/REF-16-116baa79eaae839a9f77017ba389acea?pvs=21),,"대체 세계의 인물에게 책임을 넘기고 떠난 뒤, 남은 동료들은 알 수 없는 부분을 남겨둔 채 각자 할 일을 계속한다. 돌아온 사람은 변경된 제도와 타인의 기억 속에서 다른 존재가 된다.","핵심 인물의 부재는 그리움 장면이 아니라 남은 이들이 맡게 된 세계 유지, 원고 작성, 배포, 구조의 빈자리로 가시화된다. 귀환해도 예전 지위로 자동 복원되지 않고 위협이나 다른 이름으로 다시 분류된다.",,부재로 새로 생긴 타인의 권한은 본인이 돌아온 뒤에도 유지되는가?,"U0001-0003, U0050, U0300, U0450, U0550, U0600, U0852"
TH-REF25-REL-01 · 집단의 적대와 개인의 길을 분리해 판단한다,REF-25,exact,"U0300에서는 적대 집단의 개인을 제도와 분리해 인정하고, U0900에서는 오래된 동료가 주인공의 예상을 넘어선 기술을 보여 관계의 위계를 다시 조정한다.",적대 집단 관계의 장기 상환과 동료 관계의 갈등·결별 가능성,주인공에게 인정받은 순간 상대의 서사가 완성되면 독립 인물이 아니라 주인공의 안목을 증명하는 장치가 된다.,Yes,No,VERIFIED_THREAD,U0300 · U0900,REF-25 (https://app.notion.com/p/REF-25-9dfbaa79eaae831d9457819574a9b516?pvs=21),,"인물: 적대자도 자기 목표와 자존심이 있으며 동료도 주인공의 보조가 아니라 독자적 성장을 증명하려 한다. 관계: 보호·존중·경계·경쟁이 동시에 존재한다. 사건: 결투 재설정, 부상자 운반, 관전자들의 상반 해석, 극한 비무가 관계를 갱신한다. 표현: 선언보다 승부 규칙·몸을 맡기는 정도·망설임의 소멸로 신뢰를 보인다.","인물은 어느 문파에 속했는지만으로 판단되지 않는다. 주인공은 적대 조직을 싫어하면서도 개인의 결의와 성장 경로를 존중하고, 가까운 동료에게는 안전한 배려보다 전력을 믿고 받아 주는 방식으로 관계를 확인한다.",,상대를 존중하는 선택이 자기 집단의 이해와 충돌할 때 인물은 어떤 비용을 치르는가?,"적대 집단의 후배와 재대결·보호, 오래된 동료와의 성장 확인 비무"
TH-REF01-RES-01 · 살해 잔여가 보상 리듬에 눌리는 반례,REF-01,exact,10의 첫 살해에서 미정산된 자기 변화가 19에서 잠깐 언어화되지만 행동 기준은 바뀌지 않는다.,26~379의 살해 판단선·후속 추적·피해 관계망·감정 및 윤리 잔여 상환,빠른 상업 리듬 자체가 결함은 아니다. 훗날 관계·습관·판단 비용으로 돌아온다면 지연 정산일 수 있다.,Yes,No,VERIFIED_THREAD,"제공본 10 · 19~20 · 원문 3591~3950, 7087~7960행",REF-01 (https://app.notion.com/p/REF-01-b1ebaa79eaae82449d4781d49d57197f?pvs=21),,"첫 사건=심문→살해→전리품→적대 조직 내부 시점. 두 번째 사건=미행만으로 선제 살해→짧은 자기 불쾌감→자기 합리화→장물 가치와 투자. 표현은 감정 문장을 길게 늘이지 않지만, 짧은 잔여가 다음 선택을 바꾸지 않아 초기화 위험이 있다.","첫 살해는 생존 논리와 과거 착취 기억으로 정당화되고, 피해자가 속한 조직의 지도자는 그 행동을 명령하지 않았다는 별도 목적도 제시된다. 그러나 주인공 자신의 감정·신체·판단 잔여는 짧다. 두 번째 살해에서는 사람을 죽이고 기뻐하는 자신을 잠깐 불쾌해하지만 곧 험한 세계라는 논리로 털고, 장물·투자·생산 증가로 빠르게 이동한다. 이는 작품이 관계와 조직을 분리해 보는 강점과 별개로, 살해의 내적 잔여가 보상 리듬에 눌릴 수 있다는 초기 반례다.",,"이 짧은 불쾌감과 선제 살해 기준이 이후 누적·확대·후퇴하는가, 아니면 매번 같은 자기 합리화 뒤 초기화되는가?","첫 생포·고문·살해와 조직 내부 반응, 두 번째 선제 살해 직후 자기 인식과 장물 보상"
TH-REF16-KNW-01 · 독자 지식이 분산·충돌·자기수정된다,REF-16,exact,"U0001의 단독 완독 경험이 U0050의 부분 독자 경쟁, U0300의 귀환 오분류, U0600 이후의 다중 독자 사회로 확장된다.",선택 창 사이의 연속 회차. U0550 이후는 본편 종결부와 외전이 섞이므로 분리 독해 필요. U0852는 저장본 최신 경계이며 외전 종결로 단정하지 않음.,주인공만 타인의 기억과 능력을 정확히 평가하면 ‘지식의 분산’이 겉모양에 그치고 해석 권력은 다시 한 사람에게 집중될 수 있다.,Yes,No,VERIFIED_THREAD,U0001-0003 → U0050 → U0300 → U0600 → U0852,REF-16 (https://app.notion.com/p/REF-16-116baa79eaae839a9f77017ba389acea?pvs=21),,"초기에는 유일한 독자의 생존 우위로 시작하지만, 중도 이탈 독자와 다른 세계의 인물, 외전의 다수 독자가 각기 다른 정답을 행동으로 제시한다. 같은 정보가 신뢰·기만·동맹의 재료가 된다.","원작 지식은 한 사람의 완전한 지도보다 서로 다른 완독 범위, 기억 오류, 역할 욕망이 경쟁하는 자원이다. 세계가 달라질수록 지식 보유자는 타인의 행동으로 자기 해석을 고쳐야 한다.",,외전의 다중 독자 구조에서도 한 인물의 해석 독점이 실제로 깨지는가?,"U0001-0003, U0050, U0300, U0450, U0550, U0600, U0852"
