영수증 ID,K회차,결과,관찰 델타,구현 위치,반례 확인,비정사,사용 스레드,원문 근거,이유,장면 질문,적용 카드,카드 ID,프로젝트 코드
RR-REF11-031-035-20260804,REF-11 31~35화,APPLIED,31화의 협업 입력·제한적 일초 파훼와 34화 첫 실패 뒤 수단 교정으로 CHR-01 경계를 좁혔다. 멸문 진실 청취·영약 정제·새 무공 요청권의 보류로 ENG-01을 보강했다. 전과가 유운패·타 문파 신뢰·승단권으로 번역되는 조직 사슬을 REL-02에 추가했다. STR-01은 먼 반복·비용·반례가 확인되어 VERIFIED_THREAD로 승격했다. 신규 SCN-01과 REP-01을 등록했다.,02-B · REF 심층 증거 스레드 / 02-E · 연구 범위 감사,Yes,Yes,"TH-REF11-CHR-01 · 천재성은 해체·재조립·실전 검증의 연쇄로 증명된다 (https://app.notion.com/p/TH-REF11-CHR-01-3b0baa79eaae81eea317f29d3053f6db?pvs=21), TH-REF11-ENG-01 · 남은 수명은 선택의 시간 예산으로 작동한다 (https://app.notion.com/p/TH-REF11-ENG-01-3b0baa79eaae81d3a153f536eb18542f?pvs=21), TH-REF11-REL-02 · 입문 구간은 인물별 판정 기준과 권한 차이로 조직을 실체화한다 (https://app.notion.com/p/TH-REF11-REL-02-3b0baa79eaae81798183f137cff283b3?pvs=21), TH-REF11-STR-01 · 서로 다른 권위자의 연속 인정이 보상과 상실을 함께 키운다 (https://app.notion.com/p/TH-REF11-STR-01-3b0baa79eaae81489c10f1d2699c51f2?pvs=21), TH-REF11-SCN-01 · 상대의 독문무공을 상위 형태로 되돌려 패배를 삶의 부정으로 바꾼다 (https://app.notion.com/p/TH-REF11-SCN-01-3b2baa79eaae81ddb335c0f88ecb9af5?pvs=21), TH-REF11-REP-01 · 실용적 자기보존 선택이 관찰자에게 협의로 번역된다 (https://app.notion.com/p/TH-REF11-REP-01-3b2baa79eaae81e79cb1d74a24d9b2dd?pvs=21)","참고작 압축 원문 시한부 천재가 살아남는 법 1-829 완.txt의 31화~35화. 표제 경계 exact: 31화 시작 10253행, 32화 10712행, 33화 11059행, 34화 11400행, 35화 11747행, 36화 12070행.","원문 직접 독해와 최신 DB·기존 TH 대조를 완료했다. 기존 스레드와 해결 문제·수용 주체·상태 변화가 다른 두 항목만 신규 분리했으며, 공용 실행 카드와 승격 후보는 생성하지 않았다.",전장 성취가 어떤 관찰자와 조직을 거쳐 사기·접근권·동맹 신뢰·승단권으로 바뀌는가? 첫 실패 뒤 천재성은 어떻게 수정 능력으로 검증되는가? 사적 생존 계산은 왜 타인에게 협의로 수용되는가?,,없음 · 공용 카드 미승격,REF-11
RR-REF46-SOPV5-MIGRATION-20260805,,RESEARCH_REQUIRED,"상태 스키마 보강, 중복 4건 보존형 폐기, 누락 관계 2건 복구, TH별 이관 패키지 17개 생성, REF-46 범위 감사 생성.",Notion 02-B/02-D/02-E 및 로컬 /mnt/data/ref46_evidence,Yes,Yes,"TH-REF46-01 · 처형을 피하려 수행한 집단 역할이 구성원을 위한 제도적 책임으로 굳어진다 (https://app.notion.com/p/TH-REF46-01-3b2baa79eaae81ff8a82e39db9463f0f?pvs=21), TH-REF46-02 · 선행 게임 지식은 현장 변수와 반례를 거쳐 갱신 가능한 가설로 운용된다 (https://app.notion.com/p/TH-REF46-02-3b2baa79eaae81789b63cac5e62439c1?pvs=21), TH-REF46-03 · 공략 슬롯으로 모집한 파티원이 선택권과 분리 가능성을 가진 책임 공동체로 재분류된다 (https://app.notion.com/p/TH-REF46-03-3b2baa79eaae81bfb47dc8800d164eae?pvs=21), TH-REF46-04 · 탐험 성과는 지도·판단 책임·공개 절차를 거쳐 파티 밖의 지휘권으로 환전된다 (https://app.notion.com/p/TH-REF46-04-3b2baa79eaae813b9438cd9f8e8120aa?pvs=21), TH-REF46-05 · 다중 신분은 습관·시기·정보 행동의 누적 증거로 판정되고 선택적 공개가 별도 동맹망을 만든다 (https://app.notion.com/p/TH-REF46-05-3b2baa79eaae81078483c176b5c95fa5?pvs=21), TH-REF46-06 · 한정된 성장 슬롯은 전투 역할·취약점·동료 배치를 함께 잠그는 선택 장부로 작동한다 (https://app.notion.com/p/TH-REF46-06-3b2baa79eaae8196bd5ddb80a846a106?pvs=21), TH-REF46-07 · 회차 리셋은 현지 기억과 사건을 초기화하되 공략 기억·외부 준비·접근 권리를 누적시킨다 (https://app.notion.com/p/TH-REF46-07-3b2baa79eaae811a85c6eb22fc4f3464?pvs=21), TH-REF46-08 · 보호받던 신입은 상실을 전투 권한으로 바꾸되 통제·가족·종족 부채를 다시 조정해야 한다 (https://app.notion.com/p/TH-REF46-08-3b2baa79eaae819a83bffda262ebc9c5?pvs=21), TH-REF46-09 · 조직은 같은 공적 기록을 영웅·악령·귀족 서사로 재편해 권리와 의무를 배분한다 (https://app.notion.com/p/TH-REF46-09-3b2baa79eaae811eb5d5d2eba4b389c5?pvs=21), TH-REF46-10 · 적대자는 복수·생존·귀환 목표를 분리한 채 반복 협력으로 조건부 동료가 된다 (https://app.notion.com/p/TH-REF46-10-3b2baa79eaae81a1899bceec7c09794d?pvs=21), TH-REF46-11 · 공통 출신과 정보 교환은 동맹을 보장하지 않으며 귀환 목표와 결별 조건을 명시해야 협력자가 된다 (https://app.notion.com/p/TH-REF46-11-3b2baa79eaae8104b078e11d53f587b3?pvs=21), TH-REF46-12 · 진실 판정 장치는 발화자의 확신만 인증해 질문권·묵비권·문장 설계가 협상권을 결정한다 (https://app.notion.com/p/TH-REF46-12-3b2baa79eaae8151975ad0c5e1f503a2?pvs=21), TH-REF46-13 · 불확실한 정보는 닻 질문·행동 기록·제삼자 공개를 겹쳐야 행동 가능한 신뢰로 바뀐다 (https://app.notion.com/p/TH-REF46-13-3b2baa79eaae811d9137cdc4e97d16f7?pvs=21), TH-REF46-14 · 사망·부상 보고는 역할 공백과 지휘 책임을 다음 편제로 넘기는 인력 손실 장부가 된다 (https://app.notion.com/p/TH-REF46-14-3b2baa79eaae81e4a18bd24aa87f99da?pvs=21), TH-REF46-15 · 실패한 탐사·구조 시도는 가설 폐기·도구 요구·지도 갱신으로 다음 시도의 탐색 공간을 줄인다 (https://app.notion.com/p/TH-REF46-15-3b2baa79eaae819d958ad97fbc196994?pvs=21), TH-REF46-16 · 분배 비율은 현재 기여와 특수 노동을 가격화하고 성장 뒤 재협상되는 동료 계약이다 (https://app.notion.com/p/TH-REF46-16-3b2baa79eaae81959914c903d52e51e2?pvs=21), TH-REF46-17 · 공동 전리품은 현금 분배·개인 매입·공용 비축·군자금으로 용도별 권리를 분리해 보존된다 (https://app.notion.com/p/TH-REF46-17-3b2baa79eaae8185ba74ff7f2d4b7850?pvs=21)",REF-46 전체 원문 SHA-256 9cf9d175c228c02e960a04f3d721f29bb4362b380065f2fd200b828291ba1191. /mnt/data/ref46_evidence/TH-REF46-01~17에 기존 TH 근거 범위와 발췌별 해시를 고정했다.,SOP v5 감사 결과 TH 요약층은 존재하지만 원천 장면·Macro·Micro가 비어 있어 집필 시 원문 재독이 불가능했다. 신규 채굴보다 기존 범위의 장면 재절단과 원천 보존이 우선이다.,기존 TH를 원천 장면 정본과 Macro 검색층으로 복구하려면 어떤 실제 장면 경계와 대비·실패·미해결 범위를 보존해야 하는가.,,,기법 연구
RR-REF46-TH01-RECUT-P1-20260805,,APPLIED,"원천 장면 7건, 익명 원문 독서 장면 7건, Macro 6건을 생성했다. Micro는 독립 필요성이 확인되지 않아 0건으로 유지했다.","Notion 03-A/03-C/03-E, TH-REF46-01 및 로컬 /mnt/data/ref46_evidence/TH-REF46-01/recut_v1",Yes,Yes,TH-REF46-01 · 처형을 피하려 수행한 집단 역할이 구성원을 위한 제도적 책임으로 굳어진다 (https://app.notion.com/p/TH-REF46-01-3b2baa79eaae81ff8a82e39db9463f0f?pvs=21),"2화 301~417행 / 6~7화 2,513~3,063행 / 150화 72,483~72,717행 / 151화 73,253~73,364행 / 153~154화 74,113~74,665행. 장면별 원문 파일과 SHA-256은 /mnt/data/ref46_evidence/TH-REF46-01/recut_v1에 고정했다.",SOP v5에 따라 기존 TH 요약에서 실제 장면 재진입 층으로 복구했다. 핵심 장면뿐 아니라 대비·실패·미해결·후속 수정 장면을 함께 보존했다.,처형을 피하기 위한 역할 수행이 어떻게 위장 비용·현재 인격 판정·교육 책임·조건부 권한 이동으로 변형되는가.,,,기법 연구
RR-REF46-TH01-RECUT-P2-AUDIT-20260805,,APPLIED,"원천 장면 5건, 익명 독서본 5건, Macro 4건 추가. TH-01 합계는 원천 장면 12건·익명 독서본 12건·Macro 10건·Micro 0건이다. 감사 6항목 중 5항목 통과, 장면 표현 편중은 주의 판정이나 중단 기준인 2개 이상 실패에는 해당하지 않는다.","Notion 03-A/03-C/03-E, TH-REF46-01 및 로컬 /mnt/data/ref46_evidence/TH-REF46-01/recut_v2",Yes,Yes,TH-REF46-01 · 처형을 피하려 수행한 집단 역할이 구성원을 위한 제도적 책임으로 굳어진다 (https://app.notion.com/p/TH-REF46-01-3b2baa79eaae81ff8a82e39db9463f0f?pvs=21),"452화 223,350~223,490행 / 453~454화 223,899~224,329행 / 650화 311,053~311,155행 / 651화 311,157~311,359행. 장면별 원문과 해시는 recut_v2에 고정했다.",TH-REF46-01의 남은 제도화 구간을 실제 장면으로 복구하고 Macro 누적 10건 정기 감사를 수행했다.,생존 역할이 대표 권한으로 굳어진 뒤 행정·고용·교육 기능을 어떤 사람과 절차에 배분하는가.,,,기법 연구
RR-REF46-TH02-RECUT-V1-20260805,,APPLIED,"원천 장면 10건, 익명 독서본 10건, Macro 8건, Micro 1건. 특히 넓은 탐사 범위를 직접 탐색 중단→주변 탐색→현실 전용 기록 발견→전문 감정 이관으로 분리했고, 화말 확신을 다음 회차 첫 문단에서 과거형 가설로 되돌리는 문단 종료 Micro를 등록했다.","Notion 03-A/03-C/03-E/03-F, TH-REF46-02 및 로컬 /mnt/data/ref46_evidence/TH-REF46-02/recut_v1",Yes,Yes,TH-REF46-02 · 선행 게임 지식은 현장 변수와 반례를 거쳐 갱신 가능한 가설로 운용된다 (https://app.notion.com/p/TH-REF46-02-3b2baa79eaae81789b63cac5e62439c1?pvs=21),"3화 959~1,223행 / 4화 1,225~1,235행 / 17화 7,427~7,465행 / 31화 14,391~14,485행 / 171~172화 82,653~82,925행 / 309~310화 153,313~153,415행 / 409화 199,279~199,423행 / 447화 220,681~220,733행. 원문과 개별 해시는 /mnt/data/ref46_evidence/TH-REF46-02/recut_v1에 고정했다.",기존 TH의 넓은 근거 범위를 실제 장면 경계로 재절단해 집필 시 원문 재독이 가능하도록 복구했다. 핵심·대비·실패·후속·전문가 이관과 화말 표현을 함께 보존했다.,선행 게임 지식이 현실의 생계·신체·역사·성장·물품 차이와 만날 때 어떤 순서로 가설·반례·전문가 이관으로 갱신되는가.,,,기법 연구
RR-REF46-TH03-RECUT-V1-20260805,,APPLIED,"원천 장면 15건, 익명 독서본 15건, Macro 9건, Micro 0건. 선택권 존중과 최종 결정 책임을 적용 대상이 다른 별도 판단으로 분리했다. 유용한 전력과 공동체 자격을 분리하는 반례를 확보했다.","Notion 03-A/03-C/03-E, TH-REF46-03 및 로컬 /mnt/data/ref46_evidence/TH-REF46-03/recut_v1",Yes,Yes,TH-REF46-03 · 공략 슬롯으로 모집한 파티원이 선택권과 분리 가능성을 가진 책임 공동체로 재분류된다 (https://app.notion.com/p/TH-REF46-03-3b2baa79eaae81bfb47dc8800d164eae?pvs=21),"47화 22,223~22,299행 / 49화 22,970~23,005행 / 52~53화 24,480~24,767행 / 173화 83,341~83,417행 / 175화 84,555~84,689행 / 208화 101,579~101,713행 / 211~212화 103,615~103,971행 / 216화 106,059~106,163행 / 382~383화 186,957~187,135행 / 446~447화 220,397~220,889행 / 825~827화 382,140~382,967행. 개별 파일과 해시는 recut_v1에 고정했다.","기존 TH의 넓은 범위를 실제 장면 경계로 재절단해 기능 슬롯 모집, 보호 실패, 결함 공개, 권리 재협상, 선택권, 최종 결정 책임, 새 리더 선택, 분리 뒤 새 소속, 위기 중 사람 회수를 다시 읽을 수 있게 복구했다.",공략 역할로 모집된 구성원이 어떤 실패·권리 변화·선택 책임·분리와 재결합을 거쳐 독립 선택권을 가진 책임 공동체로 재분류되는가.,,,기법 연구
RR-REF46-TH04-RECUT-V1-20260805,,APPLIED,"신규 원천 장면 15건, 기존 TH-03 원천 장면 재사용 3건, 익명 독서본 15건, Macro 9건, Micro 1건. 최신 날짜가 있는 지도 복사본 배포를 독립 Micro로 보존했다.","Notion 03-A/03-C/03-E/03-F, TH-REF46-04 및 /mnt/data/ref46_evidence/TH-REF46-04/recut_v1",Yes,Yes,TH-REF46-04 · 탐험 성과는 지도·판단 책임·공개 절차를 거쳐 파티 밖의 지휘권으로 환전된다 (https://app.notion.com/p/TH-REF46-04-3b2baa79eaae813b9438cd9f8e8120aa?pvs=21),"208화 101,579~101,713행 / 211~212화 103,615~103,971행 / 215화 105,245~105,477행 / 216화 106,059~106,163행 / 393~397화 191,881~194,017행 / 503~504화 247,639~248,015행 / 557~560화 271,881~273,509행 / 604~606화 292,369~293,491행 / 618~621화 298,371~299,655행.","기존 넓은 근거를 지휘 자격 획득, 팀 자율 경계, 발견권·범죄 판단 분리, 손실 보고, 실패 인정, 군단 재편, 지도·보고 공용화로 재절단했다.",개인 탐험 성과가 어떤 보고·검증·지도·책임·절차를 거쳐 파티 밖의 지휘권과 집단 재사용 자산으로 전환되는가.,,,기법 연구
RR-REF46-MACRO-AUDIT-40-20260805,,APPLIED,"원문 재독 가치 PASS / 네 축 균형 PASS / 기존 장면 차별성 PASS / 집필 사용 시점 설명 PASS / 중복·포화 PASS / 표면 모방 경계 CAUTION. 가면·진실 장치·통신 종이 같은 고유 물건을 모방하지 말고 질문권·묵비권·연락권 변화만 검색 좌표로 사용한다. 실패 0건, 주의 1건으로 신규 복구 계속 가능.",Notion 02-D 연구 영수증. 누적 Macro 40건 지점 감사.,Yes,Yes,"TH-REF46-04 · 탐험 성과는 지도·판단 책임·공개 절차를 거쳐 파티 밖의 지휘권으로 환전된다 (https://app.notion.com/p/TH-REF46-04-3b2baa79eaae813b9438cd9f8e8120aa?pvs=21), TH-REF46-05 · 다중 신분은 습관·시기·정보 행동의 누적 증거로 판정되고 선택적 공개가 별도 동맹망을 만든다 (https://app.notion.com/p/TH-REF46-05-3b2baa79eaae81078483c176b5c95fa5?pvs=21)","TH-REF46-04 후반 Macro 6건: 발견권·범죄 판단 분리, 목표·책임과 손실 정산, 전문가 오판 수정, 실패 뒤 군단 지휘권 인수, 기능 책임자·갱신 지도, 수색 우선·성과 배분. TH-REF46-05 선행 Macro 4건: 익명 인증·거래권, 질문·묵비·다자 규칙, 숫자 기반 추론·제한 인정, 습관 판정·선택적 공개·연락권.",Macro 40건 누적 지점의 SOP v5 정기 감사. 10건 모두 원문 재독 이유와 상태 변화가 있고 장면·스토리·캐릭터·작가 선택을 복원할 수 있다. 동일한 '권한 확대'나 '정체 공개'로 뭉개지 않고 판단 단위가 분리돼 있다.,누적 Macro 31~40이 원문 재독 가치·네 축 균형·차별성·집필 검색성·포화·표면 모방 경계를 유지하는가.,,,기법 연구
RR-REF46-TH05-RECUT-V1-20260805,,APPLIED,"신규 원천 장면 16건, 기존 원천 장면 재사용 1건, 익명 독서본 16건, Macro 6건, Micro 1건. 누적 Macro 40건 정기 감사 통과: 실패 0건, 표면 모방 경계 주의 1건.","Notion 03-A/03-C/03-E/03-F, TH-REF46-05 및 /mnt/data/ref46_evidence/TH-REF46-05/recut_v1",Yes,Yes,TH-REF46-05 · 다중 신분은 습관·시기·정보 행동의 누적 증거로 판정되고 선택적 공개가 별도 동맹망을 만든다 (https://app.notion.com/p/TH-REF46-05-3b2baa79eaae81078483c176b5c95fa5?pvs=21),"90~93화 44,071~44,857행 / 307~309화 152,119~153,169행 / 385~386화 188,321~188,619행 / 646~647화 309,563~309,943행 / 735~737화 346,163~347,065행. 기존 150화 정체 의심 장면은 재사용.",넓은 근거를 출신 인증·닉네임 역노출·익명 거래·진실 장치 한계·질문권과 묵비권·숫자 추론의 오해·선택적 공개·별도 연락권·적대적 연쇄 공개·목표 불일치 반례로 재절단했다.,"다중 신분은 어떤 생활 증거·질문 규칙·부분 공개를 통해 판정되며, 공개 이후 질문권·연락권·협상권·공격권은 어떻게 달라지는가.",,,기법 연구
RR-REF46-TH06-RECUT-V1-20260805,,APPLIED,"신규 원천 장면 12건, 익명 독서본 12건, Macro 6건, Micro 1건. 기존 TH-03의 보호 장비 장면은 중복 생성하지 않았다. 능력 상승보다 포기 슬롯·사라진 권리·새 의존·상성 실패를 장부화했다.","Notion 03-A/03-C/03-E/03-F, TH-REF46-06 및 /mnt/data/ref46_evidence/TH-REF46-06/recut_v1",Yes,Yes,TH-REF46-06 · 한정된 성장 슬롯은 전투 역할·취약점·동료 배치를 함께 잠그는 선택 장부로 작동한다 (https://app.notion.com/p/TH-REF46-06-3b2baa79eaae8196bd5ddb80a846a106?pvs=21),"3화 651~715행 / 41~42화 19,665~19,775행 / 77화 37,331~37,397행 / 138~140화 66,821~67,823행 / 222화 109,141~109,239행 / 859화 396,748~397,040행 / 909~917화 417,181~421,305행.","넓은 성장 근거를 시작 역할 선택, 비동의 슬롯 손해, 장비 재설계, 유용한 코어 희생, 사라진 재생 검사, 지원 구조 재배치, 보호 책임, 극재생 개편, 카운터 실패, 다른 환경의 재발견으로 재절단했다.","한정된 성장 슬롯이 어떤 역할·취약점·지원 의존·상성 카운터를 장기간 잠그며, 개편 뒤 무엇이 사라지고 무엇이 새로 요구되는가.",,,기법 연구
