표현 장면명,REF 코드,감정 증거,대사·행동 배열,대표성,마지막 검토,상태,상태 변화,상황군,식별자 비노출,역할 표기,원문 위치,원문 장면,장면 조건,장면 종료 방식,정리문 제외,정보 공개 순서,진입 방식,표면 모방 위험,표현 목적,표현 범주,후속 회수
공적을 환호가 아니라 소속 호명과 전황 변화로 굳히는 장면,REF-11,환호보다 젊은 무인들의 전의 회복과 적의 동요가 인정의 실질적 증거가 됨,주인공이 결과를 제시 → 주변의 불신과 혼란 → 동료 A가 소속과 전과를 공개 호명 → 환호 → 양측 전의 변화 → 전황 전환,대표,2026년 8월 4일,준비,,,Yes,"주인공, 동료 A, 양측 무인들",31~32화,,"상식 밖의 전과가 발생했지만 주변이 즉시 이해하지 못함, 공개 전장, 소속과 공적 귀속이 불명확함",주인공의 관심이 다시 더 큰 적과 남은 시간으로 이동하며 외부 인정과 내부 목표를 분리,Yes,사실 자체 → 공적 주체의 소속과 이름 → 사회적 수용 → 실제 전황 효과,사건은 이미 끝났지만 주변이 의미를 이해하지 못하는 정지 상태에서 시작,높음,,"공적 인정, 오해·재해석",외부 조직의 보상과 내부 승단 판정으로 공적이 다시 확인됨
전승자가 창안자의 그림자를 벗어난 순간을 기쁨으로 받는 장면,REF-11,상실감이나 통제 욕구 대신 '나를 벗어났다'는 판정 뒤 기쁨이 이어짐,과거 요결 폐기 확인 → 자기 평온을 중심으로 한 새 운용 → 창안자의 짧은 내부 판정 → 희미한 미소와 흥겨움 → 분파로 명명,이탈,2026년 8월 4일,준비,,,Yes,"창안자, 선대 수행자 A",809화 74~106행,전승자가 창안자의 그림자를 벗어난 순간을 창안자가 기뻐하는 장면 (%EC%A0%84%EC%8A%B9%EC%9E%90%EA%B0%80%20%EC%B0%BD%EC%95%88%EC%9E%90%EC%9D%98%20%EA%B7%B8%EB%A6%BC%EC%9E%90%EB%A5%BC%20%EB%B2%97%EC%96%B4%EB%82%9C%20%EC%88%9C%EA%B0%84%EC%9D%84%20%EC%B0%BD%EC%95%88%EC%9E%90%EA%B0%80%20%EA%B8%B0%EB%BB%90%ED%95%98%EB%8A%94%20%EC%9E%A5%EB%A9%B4%203b2baa79eaae81c18fd2f976db357bfe.csv),"전승자가 오랫동안 창안자와 과거의 분노에 매달려 기술을 사용해 옴, 자기 삶에 맞는 새로운 요결을 찾음",원형 보존이 아니라 분파의 탄생을 축하하는 감정으로 닫힘,Yes,기술 변화 → 관계 감정 변화 → 창안자의 수용 순서,기술의 극성 이후 심상 자체가 달라졌음을 창안자가 감지,중간,,"감정 비직접 표현, 관계 회복, 전승·계승",옛 스승과 제자의 역할 역전까지 전승 관계가 확장됨
시간이 무한해질수록 기술은 완성되고 인간은 무너지는 장면,REF-11,외로움을 직접 설명하기보다 허상과 대화하고 관계 기억을 재구성하는 행동으로 증명,기술 완성의 연속 → 인간 한계 확인 → 정신 붕괴 징후 → 기억 속 인물들을 호출 → 그들과 대화하며 시간을 견딤,실패,2026년 8월 4일,준비,,,Yes,"주인공, 기억 속 인물들",780화 24~104행 + 140~216행,감당 못할 시간이 숙련의 축복에서 고립의 형벌로 뒤집히는 장면 (%EA%B0%90%EB%8B%B9%20%EB%AA%BB%ED%95%A0%20%EC%8B%9C%EA%B0%84%EC%9D%B4%20%EC%88%99%EB%A0%A8%EC%9D%98%20%EC%B6%95%EB%B3%B5%EC%97%90%EC%84%9C%20%EA%B3%A0%EB%A6%BD%EC%9D%98%20%ED%98%95%EB%B2%8C%EB%A1%9C%20%EB%92%A4%EC%A7%91%ED%9E%88%EB%8A%94%20%EC%9E%A5%EB%A9%B4%203b2baa79eaae81f09ae5fd906eb5ab0e.csv),"외부와 단절된 공간, 사실상 무한한 시간, 기술 숙련은 가능하지만 인간 관계가 없음",기술 성취가 아니라 사람과의 관계를 다시 붙잡는 방식으로 버팀,Yes,과잉 시간의 이점부터 충분히 보여 준 뒤 비용과 붕괴를 늦게 드러냄,처음에는 끝없는 시간을 기술 숙련의 기회로 소비,중간,,"감정 비직접 표현, 시간 압박, 한계 인정",후일담에서 살아남는 문제보다 누구와 어떻게 살아갈지가 중심이 됨
제자가 창안자의 감정을 자기 몸으로 번역하되 완승하지 못하는 장면,REF-11,스승에 대한 이해가 감사나 찬사가 아니라 자해에 가까운 선택과 결과 제한으로 증명됨,창안자의 절박함 회상 → 시간 감각을 신체 구결로 변환 → 발과 권격을 결합 → 팔 손상 → 승리 기대 고백 → 상호 치명상을 피하는 무승부 제안,대비,2026년 8월 4일,준비,,,Yes,"제자 A, 경쟁자 A, 창안자",435화 190~260행,제자가 창안자의 절박함을 자기 몸으로 해석하고 무승부를 만드는 장면 (%EC%A0%9C%EC%9E%90%EA%B0%80%20%EC%B0%BD%EC%95%88%EC%9E%90%EC%9D%98%20%EC%A0%88%EB%B0%95%ED%95%A8%EC%9D%84%20%EC%9E%90%EA%B8%B0%20%EB%AA%B8%EC%9C%BC%EB%A1%9C%20%ED%95%B4%EC%84%9D%ED%95%98%EA%B3%A0%20%EB%AC%B4%EC%8A%B9%EB%B6%80%EB%A5%BC%20%EB%A7%8C%EB%93%9C%EB%8A%94%20%EC%9E%A5%EB%A9%B4%203b2baa79eaae81fbaa72ca44c51ec2ed.csv),"제자가 압도적인 경쟁자와 맞섬, 한쪽 팔과 목숨이 동시에 위험함, 배운 기술의 외형만으로는 승산이 없음",승리 선언 대신 '꼭 누가 죽을 필요는 없다'는 무승부 합의로 닫힘,Yes,"기술명보다 창안 당시의 감정과 시간 압박을 먼저 제시하고, 그 뒤 신체 변형과 결과를 보여 줌",신체가 이미 파괴되기 시작한 위기에서 창안자의 기술을 다시 해석,높음,,"전승·계승, 한계 인정",다른 수행자들의 독립적 변형과 창안자의 분파 수용으로 이어짐
검이 부러진 뒤 당사자가 먼저 패배를 인정하는 장면,REF-11,"경쟁자 A가 변명하지 않고 다음을 기약하며, 이후 깨달음을 방해받지 않도록 지켜 봄",구경꾼의 오판 → 경쟁자 A의 짧은 패배 선언 → 전문가의 침묵과 재평가 → 다음 비무 약속 → 후속 호법,대표,2026년 8월 4일,준비,,,Yes,"주인공, 경쟁자 A, 관전자들",8화 50~176행 + 246~268행,제자가 창안자의 절박함을 자기 몸으로 해석하고 무승부를 만드는 장면 (%EC%A0%9C%EC%9E%90%EA%B0%80%20%EC%B0%BD%EC%95%88%EC%9E%90%EC%9D%98%20%EC%A0%88%EB%B0%95%ED%95%A8%EC%9D%84%20%EC%9E%90%EA%B8%B0%20%EB%AA%B8%EC%9C%BC%EB%A1%9C%20%ED%95%B4%EC%84%9D%ED%95%98%EA%B3%A0%20%EB%AC%B4%EC%8A%B9%EB%B6%80%EB%A5%BC%20%EB%A7%8C%EB%93%9C%EB%8A%94%20%EC%9E%A5%EB%A9%B4%203b2baa79eaae81fbaa72ca44c51ec2ed.csv),"공개 비무, 구경꾼은 표면 결과를 패배로 오해함, 당사자와 전문가의 판정 기준이 다름",승패 논쟁이 아니라 상호 합격 축하와 다음 관계 가능성으로 닫힘,Yes,표면 결과를 먼저 보여 준 뒤 출수 시점과 진기 운용이라는 실제 판정 기준을 늦게 공개,강한 충돌 뒤 주인공의 검이 먼저 파손됨,중간,,"오해·재해석, 패배 인정",경쟁 관계가 적대가 아니라 상호 성장과 보호 행동으로 이어짐
사과로 화해를 끝내지 않고 다음 행동을 맡기는 작별,REF-11,"용서 선언 대신 조카 보호, 생존, 가산 관리, 천수에 대한 바람으로 감정이 드러남",사과의 불충분함 인정 → 다음 만남까지의 행동 약속 → 주인공의 냉정한 한계 지적과 보호 요구 → 다른 생존자의 관리 선택 → 뒤돌아보지 않는 퇴장,대표,2026년 8월 4일,준비,,,Yes,"주인공, 가족 A, 보호자 B",6화 30~96행,동료가 주인공의 남은 시간을 자기 위험 선택의 기준으로 받아들이는 장면 (%EB%8F%99%EB%A3%8C%EA%B0%80%20%EC%A3%BC%EC%9D%B8%EA%B3%B5%EC%9D%98%20%EB%82%A8%EC%9D%80%20%EC%8B%9C%EA%B0%84%EC%9D%84%20%EC%9E%90%EA%B8%B0%20%EC%9C%84%ED%97%98%20%EC%84%A0%ED%83%9D%EC%9D%98%20%EA%B8%B0%EC%A4%80%EC%9C%BC%EB%A1%9C%20%EB%B0%9B%EC%95%84%EB%93%A4%EC%9D%B4%EB%8A%94%20%EC%9E%A5%EB%A9%B4%203b2baa79eaae81b68ee2dd802b7a2c44.csv),"가족과 가문이 붕괴함, 오래된 냉대가 한 문장으로 해소될 수 없음, 생존자들이 흩어져야 함",포옹이나 화해 선언 없이 서로 다른 방향으로 떠남,Yes,감정 고백보다 앞으로 해야 할 일과 각자의 능력 한계를 먼저 밝힘,작별 준비가 끝난 뒤 책임을 말하는 대화로 진입,낮음,,"감정 비직접 표현, 관계 회복, 사과·책임",약속한 보호와 관리가 이후 실제로 수행되는지 추적 대상으로 남음
두려움까지 포함한 패배 인정이 상호 청구권으로 이어지는 장면,REF-11,두려움은 표정 경직과 파훼될 것이라는 구체적 판단으로 드러남,중단 조건 제시 → 주인공의 배움 인정 → 수행자 A의 패배 선언 → 두려움 고백 → 미래의 부탁 한 번을 들어주겠다는 제안 → 짧은 수락,대표,2026년 8월 4일,준비,승패 미확정·설법 청취 여부 불명 → 양측 모두 패배를 일부 인정하고 서로에게 미래 청구권을 가짐,,Yes,"주인공, 수행자 A",39화 13348~13384행,,"서로의 기술이 계속 파훼되는 비무, 계속하면 치명적 수단을 써야 함, 수행자 A는 설법 목적도 가짐",위로나 감탄 없이 거래 가능한 미래 행동으로 닫힘,Yes,전문적 판정 → 감정의 구체적 이름 → 이후 권리 변화,양측이 동시에 물러나며 전투 중단 기준을 먼저 합의,낮음,"권한 이동, 정보 공개, 책임 수용, 패배 인정","사과·책임, 패배 인정",주인공에게는 수행자 A의 부탁 이행권이 실제 자산으로 남음
패배 고백 뒤 교분 요청을 조건부로 수락하는 장면,REF-11,상대는 거절에서 굳었다가 조건부 수락에서 표정이 밝아짐,패배 고백 → 배경 설명 → 교분 요청 → 즉시 거절 → 상대가 찾아오면 받겠다는 조건부 수락 → 상대 표정 회복,대표,2026년 8월 4일,준비,방문 의무 없음·친밀감 미확정 → 상대가 새 성취를 갖고 찾아올 때 만남과 교류가 허용됨,,Yes,"주인공, 경쟁자 A, 관전자 A",24화 8059~8105행,,"또래 경쟁자가 첫 패배를 경험함, 관계를 이어가고 싶어 함, 주인공은 시간과 목적상 상대의 거점까지 갈 이유가 없음",완전한 우정 선언이 아니라 제한이 있는 관계 가능성으로 닫힘,Yes,감정과 관계 욕구를 먼저 공개한 뒤 주인공의 시간 비용과 조건이 드러남,경쟁자 A가 첫 패배의 충격을 직접 고백한 뒤 교분을 청함,낮음,"거절, 관계 시작, 조건부 수락, 패배 인정","관계 회복, 패배 인정",동행 중 무학 대화가 실제로 주인공에게 도움이 되어 관계의 실익이 즉시 확인됨
반복 사과가 신뢰 회복 없이 즉시 협업으로 덮이는 장면,REF-11,"사과 횟수는 많지만 접근권·통제권은 바뀌지 않으며, 주인공은 상대 손을 부술 방법을 계산함",위협과 물리 통제 → 분석 사실 공개 → 반복 사과와 접촉 → 주인공의 침묵 → 산책·기술 관찰 제안 → 포획자 A의 즉각적 화색 → 주인공의 내부 반격 계산 → 다음 날 조심스러운 접근과 탈출 수단 확보,실패,2026년 8월 4일,준비,"위협 직후 감정은 완화되지만 통제 관계와 불신은 유지, 주인공만 탈출 가능성을 새로 확보",,Yes,"주인공, 포획자 A",65~66화 23066~23106행 + 23521~23533행,,"포획자 A가 주인공의 생사와 이동을 통제함, 감정 기복이 크고 방금 위협함, 주인공은 탈출을 위해 상대 기술을 분석해야 함",표면상 기술 협업을 이어가면서 내부적으로 통제 제거 수단을 완성,Yes,"포획자 A에게는 협업 의도만 공개되고, 주인공의 탈출·반격 목표는 독자에게만 공개",포획자 A가 위협한 직후 주인공의 기술 분석 사실을 듣고 태도를 바꿈,중간,"감정 은폐, 감정 폭발, 사과, 오해 형성, 정보 은폐","관계 파열, 사과·책임, 오해·재해석",다음 날 주인공이 상대의 기술을 이용해 몸에 남은 통제 수단을 제거할 길을 만듦
혈연의 요구를 조직 결정권으로 끊고 보호 명령을 남기는 장면,REF-11,"조직 수장은 감정을 설명하지 않고 낮은 음성과 즉시 명령으로 선을 긋고, 현장 지휘자는 몸가짐을 바꿔 복종을 표시함",원로의 자기 고백과 가문 논리 → 조직 수장의 짧은 중단 명령 → 결정권 주체 확정 → 혈족 권위 사용 금지 → 현장 지휘자에게 보호 임무 부여,대표,2026년 8월 4일,준비,"혈연 권위로 진로 개입 가능 → 조직 수장만 결정권 보유, 원로의 개입권 박탈, 현장 지휘자의 보호 의무 확정",,Yes,"조직 수장 A, 원로 A, 현장 지휘자 A, 주인공",48화 16717~16757행,,"원로 A가 혈연과 가문의 영속을 근거로 주인공의 진로에 개입하려 함, 현장 지휘자는 두 권위 사이에 끼임, 조직 수장이 최종 결정권자임",가문 논쟁을 끝내고 즉시 출정·보호 명령으로 전환,Yes,감정과 혈연 논리 → 결정권 판정 → 별도 보호 책임,원로 A가 자기 집착을 인정하면서도 가문 논리를 계속 밀어붙임,중간,"거절, 관계 단절, 권한 이동, 책임 수용","관계 파열, 사과·책임",현장 지휘자의 보호 행동이 이후 임무 관계에서 이어짐
