REF 코드,감사 메모,구간 공백,근거 스레드,기능 공백,다음 자유 질문,독해 상태,비정사,원천 경계,원천 레지스트리,확인 원문 창,확인된 기능
REF-17,로컬 검증 장부 표본만 존재. V3.1 증거 스레드 미이관,95 이외 전 범위와 앞뒤 누적,,"전작 엔진, 인물별 목소리 전사, 관계 변화, 사건 결과, 지문·리듬, 실패 반례",실무 질문은 조직 판단을 전진시키면서 인물별 목소리를 어떻게 갈라 놓는가?,PARTIAL_READING,Yes,near-exact,REF-17 (https://app.notion.com/p/REF-17-aa2baa79eaae82219978817e8b64f3fb?pvs=21),95,실무 질문·대화가 설계 판단과 조직 의사결정으로 이어지는 표본
REF-18,"U0001-U0481의 source-explicit 저장본 경계를 확인하고 초·중·후반 의미 창을 직접 대조했다. 비정상적 인지와 도덕 해석의 간격, 감정 선언 없는 캐릭터 변화, 관계 권한, 대사 수용 격차, 호기심 사건 엔진을 확인했다. 최신 저장 경계는 작품 종결로 간주하지 않는다.","U0004-0049, U0051-0199, U0201-0299, U0301-0399, U0401-0480의 연속 독해가 남음. 주인공의 호기심과 타인 책임이 충돌하는 장기 결과, 주변 인물의 거절권과 독립 목표가 미확인.","TH-REF18-PRC-01 · 비정상적 인지가 장면의 도덕 해석을 지연한다 (https://app.notion.com/p/TH-REF18-PRC-01-c04baa79eaae822e8b6c01f42a08b7a5?pvs=21), TH-REF18-CHR-01 · 감정 선언 없이 약속·변호·꺼림칙함이 누적된다 (https://app.notion.com/p/TH-REF18-CHR-01-280baa79eaae838f893d015c8e7a3197?pvs=21), TH-REF18-REL-01 · 관계가 요청·응답·교환·가르침의 권한으로 자란다 (https://app.notion.com/p/TH-REF18-REL-01-5ddbaa79eaae82e69e760129c128c993?pvs=21), TH-REF18-DLG-01 · 해석 격차가 농담과 결정 변화를 동시에 만든다 (https://app.notion.com/p/TH-REF18-DLG-01-261baa79eaae8355aa3c0109570fcadc?pvs=21), TH-REF18-EVT-01 · 질문과 호기심이 사건을 열고 동시에 위험을 만든다 (https://app.notion.com/p/TH-REF18-EVT-01-57cbaa79eaae8296829781cd7af3795c?pvs=21)","관계 파열 뒤 담담한 말투의 기능 변화, 호기심 때문에 발생한 타인 비용의 장기 책임, 주변 인물 시점의 독립 사건 추진, 후기 재난 구간의 감각·윤리 균형, 반복 해석 격차 개그의 피로도.","주인공의 정확한 관찰과 늦은 의미화가 타인의 고통을 책임지는 선택으로 이어지는가, 아니면 주변 인물이 대신 윤리적 의미를 공급하는 구조로 굳는가?",PARTIAL_READING,Yes,exact,REF-18 (https://app.notion.com/p/REF-18-fdfbaa79eaae8298821381a24be26713?pvs=21),"U0001-0003, U0050, U0200, U0300, U0400, U0481","정확한 관찰과 지연된 도덕 의미화, 약속·변호·무기 회피로 누적되는 비균일 캐릭터 변화, 요청·응답·교환·가르침에 따른 관계 권한 확대, 발화 의도와 상대별 수용 의미의 장기 변주, 질문·호기심의 사건 추진력과 타인 비용 위험."
REF-01,기존 1~25 순차 독해·267 표본에 더해 2026-08-05 packets의 선택 구간을 원문 재대조했다. 기존 VERIFIED_THREAD 7개는 유지하고 신규 VERIFIED_SCENE 9개를 분리 등록했다. 원본 QA 묶음은 REVISE 감사 기록으로 전환했다.,"26~379 순차 독해는 여전히 미완료. 신규 확인 창은 block 252~284, 516~526, 582~592, 732~763의 선택 구간이며 연속 완독으로 간주하지 않는다.","TH-REF01-ENG-01 · 능력 이전에 증명되는 삶의 방식 (https://app.notion.com/p/TH-REF01-ENG-01-a14baa79eaae82e2adb0819716d9982a?pvs=21), TH-REF01-EVT-01 · 성취가 문제의 종류를 바꾸는 엔진 (https://app.notion.com/p/TH-REF01-EVT-01-70bbaa79eaae832e86f9815ed2479cec?pvs=21), TH-REF01-REL-01 · 신뢰를 호감이 아니라 정보 범위로 쓰기 (https://app.notion.com/p/TH-REF01-REL-01-05cbaa79eaae8258a26301b9727edff6?pvs=21), TH-REF01-WLD-01 · 가격·계약·시간이 세계를 생활로 만드는 방식 (https://app.notion.com/p/TH-REF01-WLD-01-74ebaa79eaae82f99f01815e90d5b5e7?pvs=21), TH-REF01-EXP-01 · 겉말과 속계산을 행동·공간으로 분리하기 (https://app.notion.com/p/TH-REF01-EXP-01-d17baa79eaae83389a19813fbb848e50?pvs=21), TH-REF01-CHR-01 · 자유를 지키는 인물의 강제 계약 모순 (https://app.notion.com/p/TH-REF01-CHR-01-915baa79eaae82afac1c0104fe926285?pvs=21), TH-REF01-RES-01 · 살해 잔여가 보상 리듬에 눌리는 반례 (https://app.notion.com/p/TH-REF01-RES-01-353baa79eaae82938f4701e6c29b5235?pvs=21)","신규 TH의 먼 재등장·실패·장기 비용, 26~379의 전작 엔진·관계 변화·종결 상환",신규 VERIFIED_SCENE 9개가 중후반에서 반복·실패·역전되는가? 기존 ENG·WLD·EVT 스레드와 경계가 실제로 유지되는가?,PARTIAL_READING,Yes,exact,REF-01 (https://app.notion.com/p/REF-01-b1ebaa79eaae82449d4781d49d57197f?pvs=21),"1~25 순차 정밀 독해 · 267 표본 · 선택 block 252~284, 516~526, 582~592, 732~763","기존 7개 VERIFIED_THREAD + 신규 9개 VERIFIED_SCENE: 자원 보존, 보상 분열, 분신 분업, 이동 수련, 추격 충돌 설계, 목표 축소형 감각 복원, 제약 환경 측정, 유인 역이용, 잠재 보상 보존"
REF-22,원문 검색 가능. 의미 증거 스레드 없음,전 범위 의미 독해 미착수,,전작 엔진·사건·세계·인물·관계·대사 수용·지문·장기 누적 전부,작품이 독자에게 약속한 보상은 사건·인물·표현 중 어디에서 실제로 상환되는가?,INDEXED,Yes,exact,REF-22 (https://app.notion.com/p/REF-22-2a6baa79eaae83059a3581c4c99934b4?pvs=21),경계 색인만 완료,의미 단위 직접 독해 미착수
REF-03,2026-08-05 packets의 unit 1~5를 원문 재대조해 신규 VERIFIED_SCENE 3개를 등록했다. 미복원 인용 2건은 승격 근거에서 제외하고 원본 QA 묶음은 REVISE 기록으로 전환했다.,unit 1~5 외 중·후반과 종결부 순차 독해 미완료. 기존 96 표본과 이번 초기 구간의 장기 연결은 아직 미검증이다.,,"바람과 실제 세계의 장기 불일치, 다른 실패 유형의 조건 수정, 다른 세계의 지도화·우선순위 실패와 종결 상환",초기 세 VERIFIED_SCENE이 중후반 다른 세계에서 반복·변형·실패하는가? 안전 조건 수정이 새 비용을 누적시키는가?,PARTIAL_READING,Yes,exact,REF-03 (https://app.notion.com/p/REF-03-b61baa79eaae8295a565812d4f66d82d?pvs=21),unit 1~5 · 기존 96 표본,"VERIFIED_SCENE 3개: 바람이 보상과 위험을 함께 고정, 실패 비용의 다음 안전 조건화, 탐험의 지도·우선순위·생존 운영"
REF-04,"불변 SQLite 원문 인덱스의 exact 경계로 초기·중후반·후반을 직접 대조했다. 전작 연속 독해가 아니므로 FULL_WORK_VERIFIED로 올리지 않았고, 5개 근거 스레드를 V3.1에만 기록했다.",U0004~0039 · U0041~0440 · U0442~0845 · U0848~0861의 연속 변화와 작품 최종 종결. 마지막 확보 구간은 결말 검증이 아님.,"TH-REF04-ENG-01 · 반복은 정답이 아니라 선택 기준을 바꾼다 (https://app.notion.com/p/TH-REF04-ENG-01-fcdbaa79eaae826baf488136f0805e4c?pvs=21), TH-REF04-REL-01 · 추상 명제는 관계 행동으로 정산된다 (https://app.notion.com/p/TH-REF04-REL-01-c23baa79eaae822cb5140142f8937722?pvs=21), TH-REF04-EXP-01 · 우주적 개념을 몸과 사후 행동으로 내려놓는다 (https://app.notion.com/p/TH-REF04-EXP-01-7ccbaa79eaae8350943a811c36b1dcbc?pvs=21), TH-REF04-CHR-01 · 강함의 증가가 책임의 단위를 넓힌다 (https://app.notion.com/p/TH-REF04-CHR-01-806baa79eaae824897de0174cfe2fd0c?pvs=21), TH-REF04-RES-01 · 누적 밀도가 현재 장면을 가릴 수 있다 (https://app.notion.com/p/TH-REF04-RES-01-688baa79eaae821a8e2c0192f33b397f?pvs=21)","현재 생의 독립 욕망과 누적 의무의 충돌, 조연의 독립 판단 전사, 실패한 반복의 후속 비용, 관계별 파열·회복, 중간부 표현 밀도와 독자 재진입 장치","타인의 미완 욕망을 보존하는 책임이 현재 생의 욕망과 충돌할 때 누구의 선택권이 줄어들며, 작품은 그 손실을 어떤 행동으로 남기는가?",PARTIAL_READING,Yes,exact,REF-04 (https://app.notion.com/p/REF-04-2aebaa79eaae835d99c401be456a2237?pvs=21),U0001~0003 · U0040 · U0441 · U0846~0847 · U0862~0863,"도입의 무력감과 불완전 기억, 반복이 선택 기준을 바꾸는 장기선, 추상 명제의 관계 행동 정산, 개념의 신체·실용 체화, 책임 범위 확대, 누적 과밀 내부 반례"
REF-11,원천 경계 exact. 작품 전체 왕복 채굴로 스토리 표현 2축과 주요 인물 장기 구성 4축을 보강했다. 기존 익명 표현 장면 18건에 Macro 6건을 추가했다. 장면 표현 기반은 확보되었고 이번 집중 조사 범위는 완료했다. 공용 카드·작품 간 비교·MC는 변경하지 않았다.,"전 회차 순차 정밀 독해는 미완이다. 다만 이번 왕복 집중 범위인 보상→다음 문제, 정보 격차·공개 순서, 화말→다음 목표, 초·중·후반 회수 연쇄, 주요 인물 4명 장기 판단 변화는 완료했다.","TH-REF11-CHR-01 · 천재성은 해체·재조립·실전 검증의 연쇄로 증명된다 (https://app.notion.com/p/TH-REF11-CHR-01-3b0baa79eaae81eea317f29d3053f6db?pvs=21), TH-REF11-ENG-01 · 남은 수명은 선택의 시간 예산으로 작동한다 (https://app.notion.com/p/TH-REF11-ENG-01-3b0baa79eaae81d3a153f536eb18542f?pvs=21), TH-REF11-DLG-01 · 살해 비용의 불확실성을 지렛대로 전력 격차를 멈춘다 (https://app.notion.com/p/TH-REF11-DLG-01-3b0baa79eaae81cc8b2dcab0c3ccb638?pvs=21), TH-REF11-REL-01 · 전승은 원형 복제가 아니라 타인의 독립적 완성으로 증명된다 (https://app.notion.com/p/TH-REF11-REL-01-3b0baa79eaae81cab9b4f0d1ba5637fe?pvs=21), TH-REF11-REL-02 · 입문 구간은 인물별 판정 기준과 권한 차이로 조직을 실체화한다 (https://app.notion.com/p/TH-REF11-REL-02-3b0baa79eaae81798183f137cff283b3?pvs=21), TH-REF11-STR-01 · 서로 다른 권위자의 연속 인정이 보상과 상실을 함께 키운다 (https://app.notion.com/p/TH-REF11-STR-01-3b0baa79eaae81489c10f1d2699c51f2?pvs=21), TH-REF11-SCN-01 · 상대의 독문무공을 상위 형태로 되돌려 패배를 삶의 부정으로 바꾼다 (https://app.notion.com/p/TH-REF11-SCN-01-3b2baa79eaae81ddb335c0f88ecb9af5?pvs=21), TH-REF11-REP-01 · 실용적 자기보존 선택이 관찰자에게 협의로 번역된다 (https://app.notion.com/p/TH-REF11-REP-01-3b2baa79eaae81e79cb1d74a24d9b2dd?pvs=21)","후반 위험 물건의 최종 처분, 새 직책에서의 실패·과대평가 반례, 조직 공적 오판과 책임 귀속의 독립 연쇄는 근거 부족으로 보류한다.",REF-11 집중 조사 종료. 다음 작품으로 이동한다. 작품 간 비교와 공통 메커니즘 추출은 아직 수행하지 않는다.,WHOLE_WORK_READ,Yes,exact,REF-11 (https://app.notion.com/p/REF-11-671baa79eaae82ef9f05010481a07477?pvs=21),"전 작품 왕복 채굴 직접 확인: 1, 7~8, 50, 61, 97, 104, 151, 299, 445, 582, 670, 716, 724~725, 767, 776, 780, 812, 823~824화. 기존 1~35화 정밀 독해와 결합.","보상이 동료 손실 회복과 다음 목적지로 변환되는 방식, 독자 선행 정보가 제한 공유·관계 상처·조직 작전으로 확대되는 공개 순서, 감정 정산 대신 목적지·출정·역할 배치로 닫는 화말, 시한·고통·공정성·편애의 초중후반 회수, 주인공 및 주요 인물 4명의 판단 기준·예외·변화."
REF-23,로컬 검증 장부 표본만 존재. V3.1 증거 스레드 미이관,597 이외 전 범위와 규칙의 생성·후속 상환,,"전작 엔진, 규칙 형성·변형 전사, 인물·관계, 비용·반례, 표현 폭",조직의 규칙은 주인공이 없을 때도 어떻게 작동하며 그 비용은 누가 감당하는가?,PARTIAL_READING,Yes,exact,REF-23 (https://app.notion.com/p/REF-23-942baa79eaae82a5958e018350ba208f?pvs=21),597,조직 규칙이 주인공 부재에도 독립 반응과 파급을 만드는 표본
REF-02,2026-08-05 packets 선택 구간을 원문 재대조해 신규 VERIFIED_THREAD 1개와 VERIFIED_SCENE 6개를 등록했다. 기존 V3.1 TH는 없었으며 원본 QA 묶음은 REVISE 감사 기록으로 전환했다.,"전체 순차 독해는 미완료. 확인 범위는 unit 71~75, 114~123의 선택 구간이며 203~207 후보는 본문 불완전으로 미승격이다.",,"중·후반 전체 사건 엔진, 기술 재설계 실패, 비밀 충돌, 예정 정보 오차, 조직 관계의 장기 비용과 종결 상환",술식 구조 재설계 THREAD가 실패·출력 격차에서도 유지되는가? 나머지 여섯 SCENE이 먼 회차에서 반복·반례를 얻는가?,PARTIAL_READING,Yes,exact,REF-02 (https://app.notion.com/p/REF-02-242baa79eaae82f09f8a81cb120e78ad?pvs=21),"1 · 8 후반~9 초반 · 선택 unit 71~75, 114~123","VERIFIED_THREAD 1개: 술식 구조의 목적 단위 해체·재설계. VERIFIED_SCENE 6개: 인물 예외 추론, 사회적 평가, 기능적 비밀 신뢰, 예정 사건 선점 협상, 기능 보존형 장비 개조, 조직 역검증"
REF-25,초기·중기·후기 exact 창을 대조해 장면 유머를 대사 기술로만 분리하지 않고 후회→기초 선택→집단 권리→공식 승계의 장기선으로 재구성했다. 5개 근거 스레드를 V3.1에만 기록했고 전작 검증 상태는 올리지 않았다.,U0004~0299 · U0301~0599 · U0601~0730 · U0734~0899 · U0901~1183의 연속 변화와 작품 최종 결말. U1184는 마지막 확보 표본일 뿐 결말이 아님.,"TH-REF25-ENG-01 · 과거의 후회가 현재의 기초 선택으로 바뀐다 (https://app.notion.com/p/TH-REF25-ENG-01-11fbaa79eaae8361a470018a52b07771?pvs=21), TH-REF25-DLG-01 · 자의식과 현실의 어긋남이 인물형 유머를 만든다 (https://app.notion.com/p/TH-REF25-DLG-01-d2cbaa79eaae8345a317811df42b0365?pvs=21), TH-REF25-GRP-01 · 집단 결정은 이견과 책임을 보존한다 (https://app.notion.com/p/TH-REF25-GRP-01-9debaa79eaae82349e15015bb07a71dc?pvs=21), TH-REF25-REL-01 · 집단의 적대와 개인의 길을 분리해 판단한다 (https://app.notion.com/p/TH-REF25-REL-01-a24baa79eaae83d6aea4015dda0c6051?pvs=21), TH-REF25-ORG-01 · 한 사람의 방식이 집단의 판단 언어로 변형된다 (https://app.notion.com/p/TH-REF25-ORG-01-888baa79eaae839d818381549a35dfd8?pvs=21)","유머 뒤 상처·폭력의 잔여, 반대자의 장기 수정권, 후계자의 실패와 책임 집행, 주인공 부재 시 조직 지속성, 인물별 말투 전사와 관계별 수용 변화","주인공의 방식이 조직에 전해질 때 누가 그것을 자기 욕망과 직위에 맞게 바꾸고, 과격함을 거부하거나 교정할 권리를 실제로 얻는가?",PARTIAL_READING,Yes,exact,REF-25 (https://app.notion.com/p/REF-25-9dfbaa79eaae831d9457819574a9b516?pvs=21),U0001~0003 · U0300 · U0600 · U0731~0733 · U0900 · U1184,"과거 후회가 기초·책임 선택으로 바뀌는 장기선, 자의식과 현실 어긋남의 인물형 유머, 이견·권한·비용을 보존하는 집단 결정, 소속 적대와 개인 존중의 분리, 모방에서 독자 판단권으로 가는 조직 전승"
