카드명,연구 계층,운용 모드,검증 판정,갱신 상태,검증 메모,금지 조건
가치 판단이 행동으로 먼저 나오고 언어는 뒤늦게 따라오기,원천별 카드,자동 적용 금지,사용 중지,,후반 반례로 인해 범용 카드 사용을 중지한다. 재작성과 별도 검증 전까지 공용 적용 금지.,행동의 근거가 전혀 없이 작가 편의적 선행이 될 것. 이후 반성과 언어화가 없을 것.
공포를 비용·확률·과제로 번역하는 생존형 판단,원천별 카드,자동 적용 금지,메커니즘 축소 보류,,캐릭터 성격 카드로 사용하지 않는다. 사고 표현 메커니즘으로 축소한 뒤 추가 검증 전까지 보류한다.,감정이 완전히 사라진 기계처럼 보일 것. 계산이 실제 선택 변화로 이어지지 않을 것.
관찰자에서 타인에게 읽히는 사람으로 이동하기,원천별 카드,자동 적용 금지,사용 중지,,장기 변화 카드로 범용화할 근거가 부족하다. 사용 중지 후 재작성 전까지 공용 적용 금지.,한 번의 고백으로 자기배제가 해소될 것. 기존 관찰자성이 사라져 전혀 다른 인물이 될 것.
돌봄을 물품·정보·점검으로 표현하는 비고백형 보호,원천별 카드,자동 적용 금지,메커니즘 축소 보류,,캐릭터 장기 문법으로 사용하지 않는다. 표현·장면 메커니즘으로 축소한 뒤 추가 검증 전까지 보류한다.,물품 제공만으로 관계 변화가 자동 발생할 것. 상대가 돌봄을 수동적으로 받기만 할 것.
동료의 충동을 억압하지 않고 실행 가능한 계획으로 번역하기,원천별 카드,자동 적용 금지,작품 고유 환원,,공용 관계 카드로 재사용하지 않는다. 작품 고유 관계 기록으로 환원한다. 범용 승격 근거 없음.,주인공의 계획이 동료의 욕망을 몰래 제거할 것. 동료가 감정적 바보로만 보일 것.
불안하고 속된 내면과 냉정한 외면을 병치하기,원천별 카드,자동 적용 금지,메커니즘 축소 보류,,캐릭터 장기 문법으로 사용하지 않는다. 표현 메커니즘으로 축소한 뒤 추가 검증 전까지 보류한다.,내면이 외면의 모든 성취를 거짓으로 만들 것. 같은 당황 독백만 반복할 것.
사회적 의미보다 힘과 감정의 구조를 먼저 보는 이질적 인지,원천별 카드,자동 적용 금지,작품 고유 환원,,올리버 작품 고유 인지 기록으로 환원한다. 다른 작품 인물에게 범용 성격 문법으로 적용하지 않는다.,이질성을 기괴한 어휘 장식으로만 표현할 것. 중요한 사회 정보까지 모두 무시하게 만들 것.
애착을 분노와 잔소리로 우회하는 보호자,원천별 카드,자동 적용 금지,작품 고유 환원,,공용 캐릭터 카드로 재사용하지 않는다. 작품 고유 기록으로 환원한다. 초기 파일럿 6작품 재점검에서 범용 승격 근거 없음.,모욕이나 폭언만 남고 실제 보호 선택이 없을 것. 상대의 판단권을 완전히 빼앗을 것.
우연한 허세에서 의도적 정보 통제로 주도권 이동하기,원천별 카드,자동 적용 금지,한정 보류,,홍보·정보 공개 장면에 한정하여 보류한다. 조건을 벗어난 캐릭터 성장 문법으로 자동 적용하지 않는다.,내면의 평범함이 사라지고 완전한 책략가가 될 것. 정보 통제가 무조건 성공할 것.
정답 제공자에서 문제·기준·제도 설계자로 이동하기,원천별 카드,자동 적용 금지,사용 중지,,제도화의 폭력 양면을 포함한 재작성 전까지 사용 중지한다. 공용 성장 카드로 자동 적용하지 않는다.,주변이 계속 주인공의 정답만 기다릴 것. 주인공이 갑자기 현장을 완전히 떠나 무관심해질 것.
