카드명,연구 계층,갱신 상태,검증 판정,V3.1 근거 카드,심층 증거 스레드,실행 완료 조건,심층 적용 메모,작동 원리,적용 조건,금지 조건
CTC-01 · 연기된 역할을 실제 생활의 역사로 굳히기,장편 깊이 원리,재검증 대기,조건부 장편 후보,,,,,생존이나 방어를 위한 역할이 몸의 습관·관계·책임·손실을 쌓으며 진짜/가짜로 나눌 수 없는 실제 생애가 되게 한다.,역할과 사적 자아 사이 실제 차이가 있고 그 역할로 쌓은 생활과 관계가 원문에 존재할 때.,모든 비밀 신분에 적용하거나 정체 공개 한 번으로 두 삶을 통합하거나 단순 위장을 과대해석하지 않는다.
CTC-02 · 개인의 판단 문법을 조직·제도 규모로 확대하기,장편 깊이 원리,재검증 대기,조건부 장편 후보,,,,,초반의 개인적 판단 방식이 조직 규칙으로 복제될 때 생기는 효용·병목·강제력·후계 문제를 함께 보여 준다.,주인공의 개인적 방식이 여러 사람의 업무나 제도를 결정할 규모에 도달했을 때.,"억지 제도 비판 추가, 성공 비용의 의무적 악행화, 조직 구성원의 한 목소리화 금지."
F01 · 독자 판단 위임,표현·장면 원리,재검증 대기,정규화 완료·현장 검증 대기,,,,,"감정·가치·위력을 먼저 판정하지 않고, 시점 인물에게 의미 있는 구체 증거를 배열해 독자가 결론을 내리게 한다.","- 장면 안에 독자가 판정할 수 있는 물리적·행동적·관계적 증거가 실제로 존재한다.
- 시점 인물이 그 증거를 알아볼 이유가 있다.
- 판정을 늦춰도 사건의 기본 이해가 흐려지지 않는다.","- 원문에 없는 기괴한 세부·효능·전문 반응을 새로 만들지 않는다.
- 원문이 감정을 직접 명명하는 장면이라면 전부 삭제하지 말고, 먼저 증거를 세운 뒤 명명을 남길지 판단한다.
- 판정 위임을 무표정한 건조체로 오해하지 않는다.
비발동: 구체 증거 없음 또는 직접 명시가 인물 선택"
F02 · 관찰 대상 선택,표현·장면 원리,재검증 대기,정규화 완료·현장 검증 대기,,,,,같은 장면이라도 시점 인물의 직업·욕망·두려움·관계가 무엇을 먼저 보고 무엇을 지나치는지 결정하게 한다.,"- 시점 인물에게 누적된 직업 경험·생존 습관·관계적 관심이 있다.
- 관찰 순서가 이후 판단이나 행동에 영향을 준다.
- 작가가 독자에게 알리고 싶은 정보와 인물이 실제로 볼 정보가 구분되어 있다.","- 현재 원문 인물에게 없는 전문성을 부여하지 않는다.
- 작품 고유 관찰 대상을 다른 작품에 그대로 이식하지 않는다.
- 시점 인물의 오독 가능성을 지우지 않는다.
비발동: 해당 전문성·관심 없음"
F03 · 정보가 행동을 바꾸는 순간,표현·장면 원리,재검증 대기,정규화 완료·현장 검증 대기,,,,,"전문·세계관 정보는 정의로 끝내지 않고, 누군가의 권리·작업·자원·선택 중 하나를 실제로 바꾸게 한다.","- 정보가 현재 문제와 직접 연결된다.
- 정보를 아는 사람과 모르는 사람의 가능한 행동이 달라진다.
- 설명 뒤 실제 적용·오해·위반 중 하나가 가까이 발생한다.","- 원문에서 실제로 행동을 바꾸지 않는 설정을 억지로 핵심 규칙으로 승격하지 않는다.
- 설명을 줄인다는 이유로 독자가 선택의 인과를 이해할 최소 정보까지 삭제하지 않는다.
- 현대 비유를 썼다면 반드시 원래 세계의 제약과 결정으로 돌아온다.
비발동: 정보가 현재 결정과 무관"
F04 · 독립 반응자,표현·장면 원리,재검증 대기,정규화 완료·현장 검증 대기,,,,,"주변 인물은 주인공의 대단함을 인증하는 합창단이 아니라, 자기 이해관계와 전문 기준으로 사건을 판정하고 후속 행동을 바꾸는 사람이어야 한다.","- 반응자마다 다른 정보·책임·손실이 있다.
- 반응이 실제 결정이나 관계 변화로 이어진다.
- 주인공과 다른 판정이 이후에도 의미를 갖는다.","- 원문에 없는 대규모 대중 반응이나 전문 직군을 추가하지 않는다.
- 조연의 반응을 주인공의 계획이었다고 과장하지 않는다.
- 비판적 반응을 넣기 위해 원문 성취를 부당하게 깎지 않는다.
비발동: 반응자 추가가 필요"
F05 · 선택지가 닫히는 순서로 권력 보여 주기,표현·장면 원리,재검증 대기,정규화 완료·현장 검증 대기,,,,,"권력자의 강함을 선언하지 말고, 상대가 지키려는 목표를 먼저 세운 뒤 가능한 출구가 비용 때문에 하나씩 닫히는 과정을 보여 준다.","- 상대에게 독립된 목표·책임·협상력이 있다.
- 각 선택지의 비용이 장면 안에서 이해된다.
- 굴복·타협이 상대의 합리적 판단으로 성립한다.","- 원문 상대의 지능과 목표를 낮추지 않는다.
- 원문에 없는 인질·비밀·자원을 추가해 승리를 쉽게 만들지 않는다.
- 승리 뒤 상대의 비용과 후속 반응을 삭제하지 않는다.
비발동: 상대 독립 목표 없음"
F06 · 몸이 먼저 알고 의미가 뒤따르게 하기,표현·장면 원리,재검증 대기,정규화 완료·현장 검증 대기,,,,,"트라우마·깨달음·위험·감동을 이름 붙이기 전에, 몸과 감각이 평소와 다르게 반응하는 순서를 먼저 보여 준다.","- 현재 자극과 과거 경험 또는 신체 상태 사이 실제 연결이 있다.
- 몸의 반응이 이후 선택·회피·실수에 영향을 준다.
- 감정명을 늦추는 것이 정보 은폐가 아니라 인물 경험과 맞는다.","- 원문에 없는 트라우마 원인이나 병명을 추가하지 않는다.
- 감각 묘사를 예쁘게 만들기 위해 실제 사건과 무관한 반복 표지를 심지 않는다.
- 몸 반응만으로 모든 감정을 처리해 대사와 선택의 필요를 지우지 않는다.
비발동: 원문에 변화 없음"
F07 · 레지스터 변속으로 관계와 책임 보여 주기,표현·장면 원리,재검증 대기,정규화 완료·현장 검증 대기,,,,,"공적·사적·전문·생활 언어의 전환을 분위기 장식이 아니라, 누구 앞에서 어떤 책임을 수행하는지 보여 주는 변화로 사용한다.","- 인물이 반복적으로 사용하는 둘 이상의 언어 영역이 있다.
- 장면 전환 또는 관계 변화가 발화 목적과 정보 공개 범위를 바꾼다.
- 독자가 기존 말투와의 차이를 알아차릴 누적이 있다.","- 원문의 신분·시대 예절을 무시하지 않는다.
- 참고작의 욕설·현대어·호칭을 복제하지 않는다.
- 한 번의 이탈을 영구 변화로 확정하지 않는다.
비발동: 누적 없음"
F09 · 시스템이 보여 주는 것과 가리는 것,표현·장면 원리,재검증 대기,정규화 완료·현장 검증 대기,,,,,상태창·기록·기사·연설·미래 정보는 객관적 진실이 아니라 특정 정보를 선명하게 만들고 다른 정보를 보이지 않게 하는 프레임으로 다룬다.,"- 프레임이 실제로 측정·분류·공개하는 기준이 있다.
- 프레임 밖 정보가 인물의 선택이나 관계에 중요하다.
- 인물이 프레임을 믿거나 의심하는 이유가 누적된다.","- 원문 시스템의 정확도와 규칙을 임의로 바꾸지 않는다.
- 편향을 보여 주려고 시스템을 거짓말쟁이로 만들지 않는다.
- 정보 장치가 없는 원문에 새 인터페이스를 추가하지 않는다.
비발동: 설정상 완전 판정"
