REF 코드,검색 가능,경계 상태,기술 메모,복원 경계,비정사,색인 블록,파일 힌트 회차
REF-23,Yes,exact,원문 경계와 파일 힌트 일치. 의미 분석 완료를 뜻하지 않음.,1270,Yes,2357,1270
REF-22,Yes,exact,원문 경계와 파일 힌트 일치. 의미 분석 완료를 뜻하지 않음.,368,Yes,894,368
REF-12,Yes,exact,원문 경계와 파일 힌트 일치. 의미 분석 완료를 뜻하지 않음.,198,Yes,546,198
REF-11,Yes,exact,원문 경계와 파일 힌트 일치. 의미 분석 완료를 뜻하지 않음.,829,Yes,1834,829
REF-02,Yes,exact,원문 경계와 파일 힌트 일치. 의미 분석 완료를 뜻하지 않음.,284,Yes,595,284
REF-18,Yes,exact,원문 경계와 파일 힌트 일치. 의미 분석 완료를 뜻하지 않음.,481,Yes,1066,481
REF-13,Yes,exact,원문 경계와 파일 힌트 일치. 의미 분석 완료를 뜻하지 않음.,668,Yes,1345,668
REF-04,Yes,exact,원문 경계와 파일 힌트 일치. 의미 분석 완료를 뜻하지 않음.,863,Yes,2725,863
REF-03,Yes,exact,원문 경계와 파일 힌트 일치. 의미 분석 완료를 뜻하지 않음.,351,Yes,776,351
REF-10,Yes,near-exact,기술 경계가 거의 일치하나 회차 호칭은 원문 문맥 확인 후 사용.,46,Yes,98,47
REF-26,Yes,exact,"ChatGPT Library /공용 참고작 원문/REF-26.txt. 자동 경계와 파일 힌트가 일치한다. 중복 표제·부가 텍스트는 원문 문맥으로 재확인하며, 의미 분석 완료를 뜻하지 않는다.",400,Yes,869,400
REF-07,Yes,near-exact,기술 경계가 거의 일치하나 회차 호칭은 원문 문맥 확인 후 사용.,368,Yes,884,368
REF-30,Yes,unresolved,ChatGPT Library /공용 참고작 원문/REF-30.txt. 원문 전체 검색은 가능하나 자동 표제 규칙으로 회차 경계를 복원하지 못했다. 경계 수리 전에는 문자 위치와 직접 인용 문맥만 근거로 사용한다.,0,Yes,521,263
REF-19,Yes,near-exact,기술 경계가 거의 일치하나 회차 호칭은 원문 문맥 확인 후 사용.,182,Yes,339,185
REF-28,Yes,partial,ChatGPT Library /공용 참고작 원문/REF-28.txt. 순차 회차는 1~74 범위까지 우선 확인됐다. 후반 부가 문서·문답의 숫자가 회차 표제로 오인될 수 있어 이후 경계는 문자 위치와 문맥으로만 사용한다.,74,Yes,996,470
REF-17,Yes,near-exact,기술 경계가 거의 일치하나 회차 호칭은 원문 문맥 확인 후 사용.,120,Yes,279,121
REF-39,Yes,exact,"전체 원문 직접 재검증 완료. 본편 489회 + 외전 60회 = 549회. 기존 401회 중단은 누락이 아니라 402회 이후 표제 형식 변화 때문이었다. 원문 복구 완료, Notion 영속 첨부 및 03-A 장면 재절단은 별도 진행.",549,Yes,2054,549
REF-09,Yes,unresolved,경계 미복원. 회차 번호가 아니라 블록·문자 위치만 근거로 사용.,0,Yes,576,247
REF-35,Yes,near-exact,ChatGPT Library /공용 참고작 원문/REF-35.txt. 장편 끝 경계는 확인됐으나 일부 표제가 누락되거나 변형됐다. 회차 번호는 제목 연쇄와 본문 문맥을 함께 확인한다.,993,Yes,2332,993
REF-15,Yes,near-exact,기술 경계가 거의 일치하나 회차 호칭은 원문 문맥 확인 후 사용.,401,Yes,976,400
REF-33,Yes,partial,ChatGPT Library /공용 참고작 원문/REF-33.txt. 현재 확인되는 표제 범위는 100~117이며 1~99가 없다. 초반 관계와 설정을 후반 문맥으로 역추정하지 않는다.,0,Yes,207,117
REF-20,Yes,near-exact,기술 경계가 거의 일치하나 회차 호칭은 원문 문맥 확인 후 사용.,221,Yes,553,219
REF-34,Yes,partial,ChatGPT Library /공용 참고작 원문/REF-34.txt. 현재 확인 범위는 171~1373이며 1~170이 없다. 기존에 보유한 다른 판본과 자동 병합하지 않고 판본 차이를 먼저 대조한다.,0,Yes,3402,1373
REF-14,Yes,partial,일부 경계만 복원. 블록 번호를 회차 번호라고 부르지 않음.,84,Yes,232,111
REF-44,Yes,exact,ChatGPT Library /공용 참고작 원문/REF-44.txt. 1~382 경계가 확인됐다. 상위 카드 비교는 독립 독해가 끝난 뒤에만 수행한다.,382,Yes,781,382
REF-21,Yes,near-exact,기술 경계가 거의 일치하나 회차 호칭은 원문 문맥 확인 후 사용.,422,Yes,964,424
REF-25,Yes,exact,원문 경계와 파일 힌트 일치. 의미 분석 완료를 뜻하지 않음.,1184,Yes,2440,1184
REF-16,Yes,near-exact,기술 경계가 거의 일치하나 회차 호칭은 원문 문맥 확인 후 사용.,852,Yes,1894,855
REF-05,Yes,near-exact,기술 경계가 거의 일치하나 회차 호칭은 원문 문맥 확인 후 사용.,912,Yes,1945,917
REF-01,Yes,exact,원문 경계와 파일 힌트 일치. 의미 분석 완료를 뜻하지 않음.,379,Yes,787,379
REF-06,Yes,near-exact,기술 경계가 거의 일치하나 회차 호칭은 원문 문맥 확인 후 사용.,302,Yes,751,302
REF-08,Yes,exact,원문 경계와 파일 힌트 일치. 의미 분석 완료를 뜻하지 않음.,915,Yes,1766,915
REF-24,Yes,near-exact,기술 경계가 거의 일치하나 회차 호칭은 원문 문맥 확인 후 사용.,227,Yes,497,228
REF-32,Yes,unresolved,ChatGPT Library /공용 참고작 원문/REF-32.txt. 원문 검색은 가능하나 표제 형식이 자동 경계 규칙과 맞지 않는다. 회차 번호 대신 문자 위치·앞뒤 문맥으로 근거를 고정한다.,0,Yes,829,322
REF-31,Yes,near-exact,ChatGPT Library /공용 참고작 원문/REF-31.txt. 끝 경계는 확인됐으나 일부 표제 누락·번호 변형이 있어 회차 번호는 주변 제목 연쇄를 재확인한 뒤 사용한다.,1257,Yes,2550,1257
REF-29,Yes,partial,ChatGPT Library /공용 참고작 원문/REF-29.txt. 현재 파일의 확인 범위는 120~238이며 1~119가 없다. 누락 구간의 사건·관계·초기 설정을 추정하지 않는다.,0,Yes,472,238
REF-27,Yes,near-exact,ChatGPT Library /공용 참고작 원문/REF-27.txt. 끝 경계는 확인됐으나 중간 표제 누락·중복 가능성이 있어 회차 호칭은 원문 문맥 확인 후 사용한다.,425,Yes,844,425
REF-37,Yes,partial,ChatGPT Library /공용 참고작 원문/REF-37.txt. 현재 확인되는 표제 범위는 93~957이며 1~92가 없다. 누락된 도입부의 인과·인물 관계를 후반 정보로 채우지 않는다.,0,Yes,1626,957
REF-40,Yes,unresolved,ChatGPT Library /공용 참고작 원문/REF-40.txt. 대용량 원문 검색은 가능하지만 자동 표제 탐지가 실패했다. 경계 복원 전에는 회차 번호를 근거처럼 사용하지 않는다.,0,Yes,3891,2060
REF-42,Yes,exact,ChatGPT Library /공용 참고작 원문/REF-42.txt. 1~179 경계가 확인됐다. 의미 분석과 메커니즘 승격은 별도 증거 스레드에서 수행한다.,179,Yes,419,179
REF-43,Yes,exact,ChatGPT Library /공용 참고작 원문/REF-43.txt. 1~763 경계가 확인됐다. 원천 등록은 기술적 검색 가능성만 보증하며 의미 분석 완료를 뜻하지 않는다.,763,Yes,1372,763
REF-38,Yes,near-exact,ChatGPT Library /공용 참고작 원문/REF-38.txt. 0~304의 영기반 표제가 확인됐다. 외부 표기 1~305와 혼동하지 않도록 원문 표제를 우선한다.,304,Yes,617,305
REF-41,Yes,near-exact,ChatGPT Library /공용 참고작 원문/REF-41.txt. 끝 경계는 확인됐으나 일부 중간 표제가 누락됐다. 장기 재등장은 앞뒤 표제와 문자 위치를 함께 검증한다.,843,Yes,1590,843
REF-36,Yes,unresolved,ChatGPT Library /공용 참고작 원문/REF-36.txt. 자동 탐지된 숫자가 실제 회차 수를 대표하지 않는다. 경계 수리 전에는 회차 호칭을 사용하지 않고 문자 위치와 직접 문맥만 기록한다.,0,Yes,370,164
REF-45,Yes,exact,"원천 추적 전용 실제 식별자: 악당은 살고 싶다 1-350.txt. UTF-16LE 원본, 프롤로그부터 350화 본문 종단 확인. 원본 SHA-256 95d22f155d582ec702142b906161f4b36241627a76cdf858ff9b39cd6d686a4e. 초기 구간은 장 제목형 표제, 후반은 숫자 회차 표제. 의미 연구는 별도 심층 증거층에서 진행한다.",350,Yes,1853,350
REF-46,Yes,exact,"원천 추적 전용 실제 식별자: 게임 속 바바리안으로 살아남기 1-917.txt. UTF-8 원본, 1화 서장부터 917화 루트 (5)와 파일 종단 확인. SHA-256 9cf9d175c228c02e960a04f3d721f29bb4362b380065f2fd200b828291ba1191. 58·60화 표제 병합, 352화 쉼표 표기, 593화가 93화로 오기, 715·911화의 '화' 누락을 보정하면 1~917 연속 경계다. 의미 연구는 별도 심층 증거층에서 진행한다.",917,Yes,4214,917
