카드 ID,REF 코드,근거 스레드,반례,비정사,상태,실패 조건,작동 조건,최소 메커니즘,표면 모방 금지,확인된 변화
MC-DLG-04 · 관계 누적에 따른 표현 기능 변화,REF-18 · REF-19 · REF-24,"TH-REF24-DLG-02 · 반복 농담의 관계 변주 (https://app.notion.com/p/TH-REF24-DLG-02-847baa79eaae83648bf501d25a33dcb9?pvs=21), TH-REF24-DLG-03 · 농담 뒤 진심과 행동 정산 (https://app.notion.com/p/TH-REF24-DLG-03-30abaa79eaae8378882b81d0b768ee52?pvs=21), TH-REF24-DLG-04 · 발화 내용과 수용 의미의 분리 (https://app.notion.com/p/TH-REF24-DLG-04-0acbaa79eaae82fa858d816f00e835fb?pvs=21), TH-REF24-DLG-05 · 청자별 수용 분기와 후속 행동 (https://app.notion.com/p/TH-REF24-DLG-05-8f0baa79eaae831796c681d9b5bf6421?pvs=21), TH-REF19-DLG-03 · 농담·물건·침묵이 함께 정하는 정보 가격 (https://app.notion.com/p/TH-REF19-DLG-03-c06baa79eaae82be87d381d435840bf6?pvs=21), TH-REF19-DLG-05 · 호칭 농담이 누적 관계를 증명하는 순간 (https://app.notion.com/p/TH-REF19-DLG-05-281baa79eaae820482b001a17b7543de?pvs=21), TH-REF18-DLG-01 · 해석 격차가 농담과 결정 변화를 동시에 만든다 (https://app.notion.com/p/TH-REF18-DLG-01-261baa79eaae8355aa3c0109570fcadc?pvs=21), TH-REF18-CHR-01 · 감정 선언 없이 약속·변호·꺼림칙함이 누적된다 (https://app.notion.com/p/TH-REF18-CHR-01-280baa79eaae838f893d015c8e7a3197?pvs=21)",상처나 금기가 누적된 표현은 가까워져도 농담으로 바뀌지 않을 수 있다. 호칭만 반복하고 위험 분담·선택·오해·거절의 이력이 없으면 친밀감은 선언에 그친다. 말투가 그대로여도 선택 기준과 수용 주체가 변할 수 있으므로 표현 변화만 강제하면 오히려 캐릭터를 훼손한다.,Yes,CANDIDATE,초기 유행어만 반복하고 의미 변화가 없을 때. 과거 적대 표현을 공동 기억과 허용 근거 없이 갑자기 친밀감으로 처리할 때. 또는 관계가 변했다는 이유로 안정된 목소리 자체를 교체할 때.,"초기 표현과 당시 수용, 그 사이의 공동 사건, 현재의 신뢰·빚·권한 변화가 위키에 남아 있을 때. 같은 말투라도 상대별 수용과 뒤 행동이 달라졌는지 추적할 수 있을 때.","관계 초기에 등장한 호칭·질문 습관·핀잔·침묵을 훗날 그대로 복제하지 말고, 공유 사건과 관계 권리가 늘어난 만큼 기능을 변주시켜 재등장시킨다.",같은 욕설이나 성적 농담을 반복하면 친밀해진다는 공식으로 사용하지 않는다. 특정 참고작의 커플링·관계 궤적을 복제하지 않는다.,"기존 두 작품의 반복 표현 변주에 REF-18을 더했다. 주인공의 담담한 목소리는 유지되지만 적진 협상, 지인과의 거래 농담, 스승과의 훈련, 적의 도발 무효화에서 기능이 달라졌다. 또한 변화는 ‘착해졌다’는 선언보다 약속 이행과 무기 회피 같은 행동으로 드러났다. 종결 상환과 관계 파열 반례가 남아 후보 상태를 유지한다."
MC-DLG-01 · 발화 의도와 수용 의미 분리,REF-18 · REF-19 · REF-24,"TH-REF24-DLG-04 · 발화 내용과 수용 의미의 분리 (https://app.notion.com/p/TH-REF24-DLG-04-0acbaa79eaae82fa858d816f00e835fb?pvs=21), TH-REF24-DLG-05 · 청자별 수용 분기와 후속 행동 (https://app.notion.com/p/TH-REF24-DLG-05-8f0baa79eaae831796c681d9b5bf6421?pvs=21), TH-REF19-DLG-01 · 제도적 문장의 이중 기능 (https://app.notion.com/p/TH-REF19-DLG-01-e61baa79eaae8348902481f7070cf2ab?pvs=21), TH-REF19-DLG-02 · 선택을 묻는 척 거래를 설계하기 (https://app.notion.com/p/TH-REF19-DLG-02-14cbaa79eaae82b5b75001239a392adc?pvs=21), TH-REF19-DLG-03 · 농담·물건·침묵이 함께 정하는 정보 가격 (https://app.notion.com/p/TH-REF19-DLG-03-c06baa79eaae82be87d381d435840bf6?pvs=21), TH-REF19-DLG-04 · 유머가 질문의 잔여를 지우지 않는 법 (https://app.notion.com/p/TH-REF19-DLG-04-b59baa79eaae8247a854017bba5a07bf?pvs=21), TH-REF18-DLG-01 · 해석 격차가 농담과 결정 변화를 동시에 만든다 (https://app.notion.com/p/TH-REF18-DLG-01-261baa79eaae8355aa3c0109570fcadc?pvs=21)",작전 명령·수치·위치 확인처럼 정확성이 우선인 발화는 큰 수용 분기가 필요 없다. 유머로 넘긴 질문이 후속 잔여를 남기지 않으면 의도/수용 분리가 아니라 연속성 구멍 은폐다. 문자적 답변과 상대의 황당함만 반복하면 해석 격차는 공식 개그가 된다.,Yes,VERIFIED,모든 말에 숨은 의도를 억지로 붙이거나 청자가 늘 영리하게 간파하게 만들 때. 수용 결과를 서술자가 곧바로 해설하고 행동 증거를 남기지 않을 때. 상대별 지식·관계 차이 없이 모두 같은 방식으로 당황할 때.,"청자의 현재 지식·선입견·욕망·체면, 두 인물의 관계 이력과 발화 권리, 공개/비공개 상황이 앞 장면 또는 위키에 존재하고, 수용 차이가 거래·동맹·훈련·전투 판단 중 하나를 바꿀 때.",핵심 발화마다 발화자가 뜻한 것과 청자가 받아들인 것을 별도 상태로 둔다. 장면의 의미는 청자의 응답 또는 뒤 행동에서 확정한다.,"참고작의 욕설·말버릇·호칭·성적 모욕을 가져오지 않는다. ‘비꼬듯’, ‘장난스럽게’ 같은 부사 하나로 수용 과정을 대체하지 않는다.","REF-18·19·24의 복수 작품에서 발화 의도와 청자 수용이 분리되고, 뒤 행동이 거래·훈련·전투 판단을 바꾸는 반복을 확인했다. C-DLG-01로 컴파일되었으며 MC-DLG-05의 비언어 정산 근거와 결합해 S2 실행 카드의 근거층으로 확정한다."
MC-DLG-03 · 청자의 재분류가 대화를 전진시키기,REF-24 · REF-19,"TH-REF24-DLG-01 · 농담형 공방의 층위 (https://app.notion.com/p/TH-REF24-DLG-01-256baa79eaae838293f181b2ebb42627?pvs=21), TH-REF24-DLG-02 · 반복 농담의 관계 변주 (https://app.notion.com/p/TH-REF24-DLG-02-847baa79eaae83648bf501d25a33dcb9?pvs=21), TH-REF24-DLG-03 · 농담 뒤 진심과 행동 정산 (https://app.notion.com/p/TH-REF24-DLG-03-30abaa79eaae8378882b81d0b768ee52?pvs=21), TH-REF24-DLG-04 · 발화 내용과 수용 의미의 분리 (https://app.notion.com/p/TH-REF24-DLG-04-0acbaa79eaae82fa858d816f00e835fb?pvs=21), TH-REF24-DLG-05 · 청자별 수용 분기와 후속 행동 (https://app.notion.com/p/TH-REF24-DLG-05-8f0baa79eaae831796c681d9b5bf6421?pvs=21), TH-REF19-DLG-02 · 선택을 묻는 척 거래를 설계하기 (https://app.notion.com/p/TH-REF19-DLG-02-14cbaa79eaae82b5b75001239a392adc?pvs=21), TH-REF19-DLG-03 · 농담·물건·침묵이 함께 정하는 정보 가격 (https://app.notion.com/p/TH-REF19-DLG-03-c06baa79eaae82be87d381d435840bf6?pvs=21), TH-REF19-DLG-04 · 유머가 질문의 잔여를 지우지 않는 법 (https://app.notion.com/p/TH-REF19-DLG-04-b59baa79eaae8247a854017bba5a07bf?pvs=21)",이미 합의된 절차의 확인이나 전투 중 짧은 호출-응답은 재분류 없이 기능적으로 처리할 수 있다.,Yes,CANDIDATE,모든 대화를 말싸움이나 만담으로 닫을 때. 청자가 속마음을 근거 없이 정확히 읽을 때. 주인공이 모든 질문의 허용 답을 미리 정하고 청자의 저항·새 조건·후속 비용이 없을 때.,"청자가 자기 목표·정보·관계 부담을 가지고 있고, 그 반응이 계약·업무·거리·위험·소문 중 하나를 바꿀 수 있을 때","청자는 발화에 자동 반격하지 않는다. 문자 그대로 답하기, 숨은 목적에 답하기, 프레임 거부, 오해, 침묵, 지연 수용, 행동으로 답하기 중 인물에게 맞는 반응을 고른다.","매번 건조한 한마디로 상대를 제압하는 리듬을 복제하지 않는다. 농담, 냉소, 침묵 가운데 하나를 만능 반응으로 고정하지 않는다.","두 작품에서 청자의 수용이 실제 행동·계약·정보 공개·집단 결정으로 이어졌다. 특히 질문을 문자 그대로 받지 않고 거래 조건으로 바꾸거나, 회피된 질문을 잔여로 남기는 변형을 확인했다. 조종이 실패하는 반례와 전작 누적은 아직 미확인이다."
MC-DLG-02 · 같은 내용의 표현 조건 변주,REF-24,"TH-REF24-DLG-01 · 농담형 공방의 층위 (https://app.notion.com/p/TH-REF24-DLG-01-256baa79eaae838293f181b2ebb42627?pvs=21), TH-REF24-DLG-03 · 농담 뒤 진심과 행동 정산 (https://app.notion.com/p/TH-REF24-DLG-03-30abaa79eaae8378882b81d0b768ee52?pvs=21), TH-REF24-DLG-04 · 발화 내용과 수용 의미의 분리 (https://app.notion.com/p/TH-REF24-DLG-04-0acbaa79eaae82fa858d816f00e835fb?pvs=21)",즉시 이해가 필요한 위기 정보와 규칙 설명은 표현 변주보다 짧고 명확한 전달이 우선이다.,Yes,CANDIDATE,대사를 화려하게 만들기 위해 모든 요소를 한꺼번에 변주할 때. 텍스트에 없는 음성 억양을 확정할 때. 모든 장면을 우회·농담·오해로 만들 때,같은 요구·질문·칭찬도 누가 누구에게 언제 어디서 하는지에 따라 체면과 위험이 달라질 때. 변화시킬 표현 요소가 캐릭터 말투와 사건 압력에서 유도될 때,"핵심 내용은 유지하되 호칭·높임·문장 완결·길이·생략·반복·타이밍·공개성을 인물과 상황에 맞게 선택하고, 그 선택이 청자의 수용을 어떻게 바꾸는지 함께 쓴다.",참고작의 특정 어휘나 문장 길이를 스타일 프리셋처럼 복사하지 않는다. 높임말이면 공손하고 반말이면 적대라는 단순 대응을 쓰지 않는다.,현재 직접 증거는 REF-24 한 작품의 선택 범위에 집중되어 있다. 같은 내용이 다른 장르·관계·위계에서 실제로 어떻게 달라지는지 교차 대조가 부족하므로 후보 상태로 환원한다.
MC-REL-01 · 신뢰를 정보·행동 권리로 갱신,REF-01 · REF-04 · REF-05 · REF-08 · REF-18 · REF-19 · REF-25,"TH-REF01-REL-01 · 신뢰를 호감이 아니라 정보 범위로 쓰기 (https://app.notion.com/p/TH-REF01-REL-01-05cbaa79eaae8258a26301b9727edff6?pvs=21), TH-REF19-DLG-03 · 농담·물건·침묵이 함께 정하는 정보 가격 (https://app.notion.com/p/TH-REF19-DLG-03-c06baa79eaae82be87d381d435840bf6?pvs=21), TH-REF19-DLG-05 · 호칭 농담이 누적 관계를 증명하는 순간 (https://app.notion.com/p/TH-REF19-DLG-05-281baa79eaae820482b001a17b7543de?pvs=21), TH-REF04-REL-01 · 추상 명제는 관계 행동으로 정산된다 (https://app.notion.com/p/TH-REF04-REL-01-c23baa79eaae822cb5140142f8937722?pvs=21), TH-REF08-REL-01 · 질문 난이도와 책임 이동이 협업 관계를 바꾼다 (https://app.notion.com/p/TH-REF08-REL-01-286baa79eaae832381a881b66d6579ea?pvs=21), TH-REF25-GRP-01 · 집단 결정은 이견과 책임을 보존한다 (https://app.notion.com/p/TH-REF25-GRP-01-9debaa79eaae82349e15015bb07a71dc?pvs=21), TH-REF25-REL-01 · 집단의 적대와 개인의 길을 분리해 판단한다 (https://app.notion.com/p/TH-REF25-REL-01-a24baa79eaae83d6aea4015dda0c6051?pvs=21), TH-REF05-REL-01 · 위험한 비밀과 도덕 이견이 관계 권리를 바꾼다 (https://app.notion.com/p/TH-REF05-REL-01-fbabaa79eaae831a8e2d8104dcda3372?pvs=21), TH-REF18-REL-01 · 관계가 요청·응답·교환·가르침의 권한으로 자란다 (https://app.notion.com/p/TH-REF18-REL-01-5ddbaa79eaae82e69e760129c128c993?pvs=21)",오래된 가족·동료처럼 이미 높은 기본 신뢰가 있는 관계는 정보 검증보다 금기·책임·실망의 처리 방식이 핵심일 수 있다. 적대 관계에서도 개인의 길을 인정하는 권리와 조직 신뢰는 서로 다르게 움직일 수 있다. 설명을 유예해주는 것이 항상 신뢰는 아니며 긴급 상황의 임시 효율일 수도 있다.,Yes,VERIFIED,의심 많은 인물이 모든 것을 혼자 검증해 상대에게 아무 권리도 주지 않을 때. ‘이제 믿었다’는 독백 뒤 행동이 그대로일 때. 도움 요청·거래·가르침이 늘 한 방향으로만 흐르고 상대의 거절권이 없을 때.,"두 인물에게 서로 다른 이해관계와 정보가 있고, 신뢰 변화가 공개 범위·검증 유예·거부권·역할 분담·위험 분담·신체 접근 중 하나를 실제로 바꿀 때.","신뢰를 호감 수치로만 쓰지 않는다. 누가 어떤 정보를 말하는지, 무엇을 재검증하는지, 어떤 대가를 치르는지, 위험한 행동을 함께할 권리를 얻는지를 관계 상태로 갱신한다.",특정 호칭·거래 소품·돈을 내미는 동작·첩보 설정을 복제하지 않는다. 거래 관계를 차갑게 써야 깊어진다는 공식으로 만들지 않는다.,REF-01·04·05·08·18·19·25에서 신뢰가 호감 선언이 아니라 정보 공개 범위·재검증 유예·거부권·역할 분담·위험 분담·신체 접근 권리의 변화로 반복 확인됐다. 범위를 ‘권리 갱신’으로 축소해 공용 메커니즘으로 확정하고 S2 실행 카드로 컴파일한다.
MC-RES-01 · 강한 사건의 잔여를 후속 선택에서 검사,REF-01 · REF-04 · REF-05 · REF-08 · REF-18 · REF-25,"TH-REF01-RES-01 · 살해 잔여가 보상 리듬에 눌리는 반례 (https://app.notion.com/p/TH-REF01-RES-01-353baa79eaae82938f4701e6c29b5235?pvs=21), TH-REF04-RES-01 · 누적 밀도가 현재 장면을 가릴 수 있다 (https://app.notion.com/p/TH-REF04-RES-01-688baa79eaae821a8e2c0192f33b397f?pvs=21), TH-REF08-RES-01 · 제도 성공은 비용을 진 사람을 가릴 수 있다 (https://app.notion.com/p/TH-REF08-RES-01-d28baa79eaae83c8ae7d0169ab542c3b?pvs=21), TH-REF25-DLG-01 · 자의식과 현실의 어긋남이 인물형 유머를 만든다 (https://app.notion.com/p/TH-REF25-DLG-01-d2cbaa79eaae8345a317811df42b0365?pvs=21), TH-REF25-ORG-01 · 한 사람의 방식이 집단의 판단 언어로 변형된다 (https://app.notion.com/p/TH-REF25-ORG-01-888baa79eaae839d818381549a35dfd8?pvs=21), TH-REF05-RES-01 · 실패·이탈·손실이 다음 집단 선택에 남는다 (https://app.notion.com/p/TH-REF05-RES-01-74fbaa79eaae832aa74c010657992348?pvs=21), TH-REF18-CHR-01 · 감정 선언 없이 약속·변호·꺼림칙함이 누적된다 (https://app.notion.com/p/TH-REF18-CHR-01-280baa79eaae838f893d015c8e7a3197?pvs=21)","훈련된 인물의 일상 업무나 이미 반복된 사건은 큰 정서 변화가 없을 수 있다. 그 경우 무감각이 직업 습관·관계 반응으로 증명돼야 한다. 장기 누적 자체도 현재 장면을 가리는 비용이 될 수 있고, 시스템 학습·제도 성공·유머는 피해자의 잔여를 서술 밖으로 밀 수 있다.",Yes,CANDIDATE,한 문단 자기혐오 뒤 보상으로 초기화할 때. 매 사건마다 같은 반성 문구만 반복할 때. 반대로 상업 리듬을 이유로 모든 잔여를 삭제할 때. 손실을 즉시 새 공략 정보로만 환전하거나 변화가 균일한 도덕 성장처럼 정리될 때.,"사건 전 판단선과 사건 후 선택을 비교할 수 있고, 즉시 정산 또는 지연 정산의 위치를 작품이 남길 때. 잔여는 감정 독백 외에도 무기 회피, 관계 거리, 감시권, 자원 우선순위로 드러날 수 있다.","살해·배신·굴욕·구원 같은 강한 사건 뒤 감정 문장을 길게 쓰는 대신, 다음 위험 판단·습관·관계 거리·정당화 언어·신체 반응 중 무엇이 달라졌는지 확인한다. 아무것도 달라지지 않았다면 의도적 무감각인지 평탄화인지 구분한다.",길게 괴로워하는 내면 독백을 깊이의 필수 조건으로 만들지 않는다. 특정 살해 장면과 자기 합리화 문구를 복제하지 않는다.,"기존 사례에 더해 REF-05에서는 징후 누락이 동료 손상과 후속 우선순위로, 1% 실패가 이탈과 집단 불신으로 남았으나 비극이 공략 정보로 빨리 환전될 위험도 확인했다. REF-18에서는 감정 선언 없이 과거 살해가 훗날 무기 선택의 꺼림칙함으로 재등장했고, 동시에 다른 대상에는 여전히 거래적 판단이 남아 비균일 변화를 보였다. 비용 담당자의 장기 발언권 사례가 더 필요해 후보로 유지한다."
MC-CHR-02 · 영향의 전승을 말투가 아닌 판단권으로 증명,REF-04 · REF-08 · REF-16 · REF-25,"TH-REF04-ENG-01 · 반복은 정답이 아니라 선택 기준을 바꾼다 (https://app.notion.com/p/TH-REF04-ENG-01-fcdbaa79eaae826baf488136f0805e4c?pvs=21), TH-REF04-REL-01 · 추상 명제는 관계 행동으로 정산된다 (https://app.notion.com/p/TH-REF04-REL-01-c23baa79eaae822cb5140142f8937722?pvs=21), TH-REF08-ORG-01 · 아이디어가 타인의 이해를 거쳐 제도가 된다 (https://app.notion.com/p/TH-REF08-ORG-01-6bebaa79eaae82e7860e015d30d6dbcf?pvs=21), TH-REF25-ORG-01 · 한 사람의 방식이 집단의 판단 언어로 변형된다 (https://app.notion.com/p/TH-REF25-ORG-01-888baa79eaae839d818381549a35dfd8?pvs=21), TH-REF25-ENG-01 · 과거의 후회가 현재의 기초 선택으로 바뀐다 (https://app.notion.com/p/TH-REF25-ENG-01-11fbaa79eaae8361a470018a52b07771?pvs=21), TH-REF16-TRI-01 · 독자·인물·작가가 상호 책임으로 재배치된다 (https://app.notion.com/p/TH-REF16-TRI-01-b31baa79eaae833f901d01aea4acb70a?pvs=21), TH-REF16-GRP-01 · 집단이 부재한 사람을 왜곡 가능성째 복원한다 (https://app.notion.com/p/TH-REF16-GRP-01-6bdbaa79eaae83ff96400108887b9ed0?pvs=21)",군사 훈련이나 의례처럼 의도적 표준화가 필요한 영역은 동일 행동이 성공일 수 있다. 그래도 예상 밖 상황의 재판단까지 동일할 필요는 없다. 공동 기록에서도 한 사람의 미상 내면을 임의로 채우면 전승이 아니라 대리 소유가 된다.,Yes,VERIFIED,후계자와 동료가 모두 같은 욕설·농담·가치 판단을 쓸 때. 원래 인물의 승인 없이는 아무 결정도 못 할 때. 독립 선택이 나와도 서사가 즉시 틀렸다고 교정할 때. 부재자를 복원한다며 각자의 시점 차이와 모르는 부분을 지울 때.,"원래 인물의 판단 습관이 행동으로 축적돼 있고, 수용자에게 독립 욕망과 책임 영역이 있으며, 실제 권한·정보·위험 중 하나가 이전될 때. 부재 상황에서는 남은 사람이 독자적으로 수행할 일과 수정권을 가져야 한다.","한 인물의 영향은 다른 인물이 같은 말과 행동을 반복하는 것으로 증명하지 않는다. 영향을 받은 인물이 자기 욕망·역할·지식에 따라 배운 기준을 변형하고, 원래 인물이 예상하거나 원한 것과 다른 선택을 할 권리를 행사하게 한다.",특정 스승·문파·환생·발명가·후계자 설정을 복제하지 않는다. 말투가 닮았다는 묘사나 주변인의 ‘닮았다’는 감탄으로 전승을 대신하지 않는다.,"REF-04에서는 타인의 말과 미완 욕망이 현재 선택 기준과 능력 해석으로 들어왔고, REF-08에서는 제안이 다른 행위자의 이해를 거쳐 제도화됐으며, REF-25에서는 제자·장로·후계자가 모방에서 독자적 권한 행사로 분화됐다. REF-16에서는 읽는 자·쓰는 자·행동하는 자가 한 인물을 공동 복원하되 각자의 기억 왜곡과 모르는 내면을 남겼다. 2026-08-02 다작품 반복성과 독립 실행 가능성을 확인해 공용 실행 카드 F17로 승격했다. 최종 독립성·장기 충돌 반례는 현장 적용 로그에서 계속 검증한다."
MC-WLD-01 · 설정을 비용 있는 선택으로 체화,REF-01,TH-REF01-WLD-01 · 가격·계약·시간이 세계를 생활로 만드는 방식 (https://app.notion.com/p/TH-REF01-WLD-01-74ebaa79eaae82f99f01815e90d5b5e7?pvs=21),신비감이 핵심인 설정은 비용을 즉시 계량화하지 않는 편이 효과적일 수 있다. 인물이 정보를 모르는 구간에서는 불확실성 자체가 체험이어야 한다.,Yes,CANDIDATE,가격·등급·기간을 많이 제시하지만 다음 행동이 달라지지 않을 때. 모든 윤리·관계 문제를 효율 계산 하나로 처리할 때.,"숫자나 규칙이 인물의 현재 자원·욕망과 비교 가능하고, 선택 뒤 생활 주기 또는 사건 가능성이 실제로 달라질 때.",제도·경제·기술 설정을 설명한 뒤 인물이 시간·돈·노출·관리 노동·관계 중 무엇을 포기하고 무엇을 택하는지 보여 준다. 설정의 의미는 선택 이후의 생활 변화로 확정한다.,특정 화폐·계약 기간·기술 제작 성공률을 가져오지 않는다. 숫자가 많을수록 세계관이 깊다는 식으로 사용하지 않는다.,REF-01에서 계약 기간·기술 초기 자본·관리 시간·독 검사 비용·장물 매입가가 각각 다른 선택을 만들었다. 자원 인플레이션 이후 지속 여부와 타 장르 반례는 미확인이다.
MC-GRP-01 · 집단 결정을 이견·권한·비용 이동으로 기록,REF-05 · REF-08 · REF-16 · REF-25,"TH-REF08-ORG-01 · 아이디어가 타인의 이해를 거쳐 제도가 된다 (https://app.notion.com/p/TH-REF08-ORG-01-6bebaa79eaae82e7860e015d30d6dbcf?pvs=21), TH-REF25-GRP-01 · 집단 결정은 이견과 책임을 보존한다 (https://app.notion.com/p/TH-REF25-GRP-01-9debaa79eaae82349e15015bb07a71dc?pvs=21), TH-REF25-ORG-01 · 한 사람의 방식이 집단의 판단 언어로 변형된다 (https://app.notion.com/p/TH-REF25-ORG-01-888baa79eaae839d818381549a35dfd8?pvs=21), TH-REF05-GRP-01 · 역할 분담이 자원·안전·발언권으로 변한다 (https://app.notion.com/p/TH-REF05-GRP-01-62bbaa79eaae82b1847f813bda15db84?pvs=21), TH-REF05-RES-01 · 실패·이탈·손실이 다음 집단 선택에 남는다 (https://app.notion.com/p/TH-REF05-RES-01-74fbaa79eaae832aa74c010657992348?pvs=21), TH-REF16-GRP-01 · 집단이 부재한 사람을 왜곡 가능성째 복원한다 (https://app.notion.com/p/TH-REF16-GRP-01-6bdbaa79eaae83ff96400108887b9ed0?pvs=21)",이미 확립된 절차를 반복 집행하는 장면은 이견 없이 짧게 처리해도 된다. 이 경우 장면 목적은 결정이 아니라 숙련·속도·규범의 안정성일 수 있다. 대규모 전투에서는 세밀한 역할 분담이 있어도 개인이 기술 슬롯과 지시 수신자로 축약될 수 있다.,Yes,VERIFIED,모두가 주인공의 생각을 다른 말로 승인할 때. 반대자가 결론 직후 사라질 때. 투표나 회의 형식은 있으나 비용과 권한이 그대로일 때. 이탈과 실패가 집단 사기·감시권·후퇴 기준을 바꾸지 않을 때.,"구성원마다 욕망·지식·지위·통증 한계 중 하나가 실제로 다르고, 그 차이가 허용 범위나 책임 배분을 바꿀 때. 결정 뒤 실행자·수정자·이탈자의 효과를 추적할 수 있을 때.","집단 장면에서 각 발언은 같은 결론의 반복이 아니라 기준·정보·권리·비용 가운데 서로 다른 하나를 바꾼다. 결론에는 실행자, 수정권자, 비용 담당자 중 최소 둘을 남겨 결정 뒤 관계와 사건이 달라지게 한다.","청원, 장로 회의, 정책 회의, 공식 임명 형식을 복제하지 않는다. 반드시 여러 명에게 한 줄씩 대사를 배정하는 규칙으로 만들지 않는다.",REF-05·08·16·25에서 집단 결정이 동일 결론 반복이 아니라 기준·정보·권리·비용 분배로 작동하는 복수 작품 반복을 확인했다. 실행 카드 C-GRP-01로 컴파일한다.
MC-ORG-01 · 아이디어를 타인의 이해와 책임으로 번역,REF-08 · REF-25,"TH-REF08-ORG-01 · 아이디어가 타인의 이해를 거쳐 제도가 된다 (https://app.notion.com/p/TH-REF08-ORG-01-6bebaa79eaae82e7860e015d30d6dbcf?pvs=21), TH-REF08-REL-01 · 질문 난이도와 책임 이동이 협업 관계를 바꾼다 (https://app.notion.com/p/TH-REF08-REL-01-286baa79eaae832381a881b66d6579ea?pvs=21), TH-REF25-GRP-01 · 집단 결정은 이견과 책임을 보존한다 (https://app.notion.com/p/TH-REF25-GRP-01-9debaa79eaae82349e15015bb07a71dc?pvs=21), TH-REF25-ORG-01 · 한 사람의 방식이 집단의 판단 언어로 변형된다 (https://app.notion.com/p/TH-REF25-ORG-01-888baa79eaae839d818381549a35dfd8?pvs=21)",긴급 전투 명령처럼 공동 이해를 기다릴 시간이 없는 상황은 즉시 복종이 합리적일 수 있다. 다만 이후 책임·오판·신뢰 변화가 남는지 별도 확인한다.,Yes,CANDIDATE,주변 인물의 질문이 천재성을 칭찬하기 위한 설명 분할일 때. 위임했다고 말하지만 모든 판단과 수정이 원래 인물에게 돌아갈 때. 반론이 실행 결과에 아무 영향도 주지 않을 때.,"제안자와 수용자의 지식·권한·위험이 다르고, 수용자의 질문이나 수정이 계획·역할·시행 순서 중 하나를 바꿀 때. 실행 뒤 보고나 재협상 통로가 남을 때.","좋은 생각이나 명령은 발화 순간 완성된 것으로 처리하지 않는다. 다른 인물이 자기 지식과 이해관계로 다시 설명하고, 반대하거나 수정하며, 실행 권한과 실패 책임 중 하나를 실제로 넘겨받아야 한다.","회의 장면, 도식, 시험 지역, 후계자 임명, 정중한 협상 말투를 형식처럼 복제하지 않는다. 발언자 수를 늘리는 것만으로 다중 판단이라 부르지 않는다.","REF-08에서는 제안이 통치자·전문가·시험·사용자를 거치며 제도와 용도가 달라졌고, REF-25에서는 교육·판단·협상 권한이 장로와 후계자에게 이동해 원래 인물의 예상을 벗어난 결정으로 이어졌다. 두 작품 모두 중간 전사와 실패 책임 검증이 남아 후보로 둔다."
