장면명,REF 코드,관찰 좌표,내부 위치,마지막 검토,상태,식별자 비노출,역할 표기,연결 장면,원문 확보,장면 역할,장면 조건,표면 모방 위험
동료가 주인공의 남은 시간을 자기 위험 선택의 기준으로 받아들이는 장면,REF-11,제한 시간은 주인공의 내부 압박에 머물지 않는다. 동료 A가 함께 본 시간과 관계 기억을 근거로 자기 용기를 판정하고 행동을 선택한다.,321화 238~274행,2026년 8월 4일,준비,Yes,"주인공, 동료 A",주인공이 남은 시간을 직접 묻는 장면 / 부상 지체를 수련 기회로 바꾸는 장면,Yes,"핵심, 후속","주인공은 제한된 삶을 계속 위험에 쓰고 있음, 동료는 오래 곁에서 이를 관찰함, 동료 자신도 치명적 위험을 감수할 선택 앞에 섬",낮음
부상으로 지체된 시간을 별도 수련 기회로 바꾸는 장면,REF-11,선배의 일반적 충고가 주인공에게는 시간 배분 방식의 변경으로 수용된다. 지체를 수련 시간으로 재분류하지만 조바심 자체가 사라지지는 않는다.,255화 116~146행,2026년 8월 4일,준비,Yes,"주인공, 선배 A",동료가 남은 시간을 자기 결단 기준으로 삼는 장면 / 과잉 시간이 고립으로 바뀌는 장면,Yes,"핵심, 후속","신체 손상으로 출발이 지연됨, 남은 시간이 생존과 직결됨, 선배는 제한 시간을 모른 채 조바심을 누그러뜨림",낮음
감당 못할 시간이 숙련의 축복에서 고립의 형벌로 뒤집히는 장면,REF-11,과잉 시간은 여러 기술을 완성시키지만 인간 한계와 불가능을 확인시킨 뒤 정신 붕괴 위험으로 바뀐다. 주인공은 기억 속 인물들을 불러내고 그들과 대화하며 시간을 다시 견딜 수 있게 만든다.,780화 24~104행 + 140~216행,2026년 8월 4일,준비,Yes,"주인공, 기억 속 인물들",부상 지체를 수련 기회로 바꾸는 장면 / 남은 시간을 직접 묻는 장면 / 스승과 제자 역할이 역전되는 후일담,Yes,"대비, 실패, 핵심, 후속","외부와 단절된 공간에서 사실상 무한에 가까운 시간을 얻음, 기술 숙련은 빠르게 진전되지만 인간 관계는 없음",중간
남은 시간을 직접 묻고 그 하루의 사용 의미를 함께 받는 장면,REF-11,"주인공은 추측하지 않고 남은 시간을 직접 묻는다. 현자 A는 수치만 답하지 않고, 그 시간 동안 정리할 인연과 오늘의 가치를 함께 판정한다.",771화 128~146행,2026년 8월 4일,준비,Yes,"주인공, 현자 A",감당 못할 시간이 고립으로 바뀌는 장면 / 최종부의 살아가는 시간,Yes,"핵심, 후속","중대한 기술의 균형이 깨져 사용 가능 시간이 제한됨, 주변에는 오래된 원한과 인연이 동시에 모여 있음",낮음
옛 스승이 과거의 제자에게 다시 가르침을 청하는 장면,REF-11,"기억을 되찾으라는 조언 뒤 옛 스승 A가 체면이나 기존 서열을 지키지 않고 가르침을 요청한다. 서술은 스승과 제자의 역할 역전을 직접 한 문장으로 확정하고, 후대 제자 B의 서열 질문으로 새 관계망을 연다.",829화 118~140행,2026년 8월 4일,준비,Yes,"주인공, 옛 스승 A, 후대 제자 B",전승자가 창안자의 그림자를 벗어나는 장면 / 감당 못할 시간을 관계로 견디는 장면,Yes,"이탈, 핵심, 후속","옛 스승 A는 기억을 일부 잃고 다시 공부해야 함, 과거의 제자는 이미 창안자이자 지도자가 됨",낮음
수행자가 여러 원리를 한 번의 자기 검격으로 압축하는 장면,REF-11,"대답 없는 침묵이 부담을 알리고, 주인공은 장 전체를 해결하지 않고 환경만 좁힌다. 수행자 A는 서로 다른 여러 원리를 자기 한 검격에 압축해 결과를 만든 뒤 계보를 인정한다.",578화 312~360행,2026년 8월 4일,준비,Yes,"주인공, 수행자 A",제자가 절박함을 자기 몸으로 해석한 장면 / 전승자가 창안자의 그림자를 벗어나는 장면,Yes,"핵심, 후속","수행자 A가 강적을 감당하기 어려움, 주인공은 범위를 좁혀 도움을 주지만 마지막 공격은 수행자가 맡음",높음
전승자가 창안자의 그림자를 벗어난 순간을 창안자가 기뻐하는 장면,REF-11,"선대 수행자 A가 분노의 초식을 버리고 자기 평온과 삶을 요결로 삼자, 창안자는 영향력 상실로 보지 않고 일맥이 분파한 성취로 받아들인다.",809화 74~106행,2026년 8월 4일,준비,Yes,"창안자, 선대 수행자 A",제자가 절박함을 자기 몸으로 해석한 장면 / 옛 스승이 제자에게 다시 가르침을 청하는 장면,Yes,"이탈, 핵심, 후속",선대 수행자 A는 창안자의 무공을 오래 익혔으나 과거의 분노와 창안자에 대한 집착을 요결로 삼아 왔음,중간
제자가 창안자의 절박함을 자기 몸으로 해석하고 무승부를 만드는 장면,REF-11,제자 A는 기술의 외형보다 창안자의 시간 압박을 읽어 자기 발뒤꿈치·권격·몸의 손상을 결합한다. 결과는 승리가 아니라 양쪽이 치명상을 피하기 위해 합의한 무승부다.,435화 190~260행,2026년 8월 4일,준비,Yes,"제자 A, 경쟁자 A, 창안자",여러 기술을 한 검격으로 압축하는 수행자 장면 / 전승자가 창안자의 그림자를 벗어나는 장면,Yes,"대비, 실패, 핵심","제자는 창안자의 여러 기술을 익혔지만 압도적인 경쟁자와 맞섬, 한쪽 팔과 목숨이 동시에 위험함",높음
11화 · 즉시 습득 뒤 지도자가 침묵으로만 충격을 남기는 장면,REF-11,"주인공은 성취를 과시하지 않고 실전 숙련의 필요를 먼저 말한다. 지도자 A는 질문이나 칭찬 대신 짧은 말막힘과 긴 침묵으로 반응하고, 장면은 그 침묵 직후 끊긴다.",11화 3360~3382행,2026년 8월 4일,준비,Yes,"주인공, 지도자 A",10화 무공 한계 교육 / 15화 경공 부족과 실전 실패,Yes,"대비, 핵심",지도자 A가 몸에 새겨야 한다고 설명한 범용 무공을 주인공이 한 번의 관찰과 실행으로 재현함,낮음
5화 · 호칭 변화가 외부 평가와 진로 선택을 동시에 드러내는 장면,REF-11,"외부 원로 A는 먼저 호칭을 바꾼 뒤 입문을 권한다. 호칭 변화가 평가의 선행 증거가 되고, 최고 수준의 제안이 뒤따르지만 주인공은 이미 정한 진로를 유지한다.",5화 1418~1452행,2026년 8월 4일,준비,Yes,"주인공, 외부 원로 A, 가족 A, 관리인 A",6화 미완 작별 / 8화 공개 비무 후 전문 판정,Yes,"핵심, 후속","주인공이 가문 붕괴 직후 생존과 진로를 결정해야 함, 외부 원로 A는 전날까지 그를 가주의 자식으로만 대함",낮음
