장면명,REF 코드,TH 색인,관찰 좌표,등록 시각,마지막 검토,연결 장면,원문 위치,원문 확보,인물,작품명,장면 ID,장면 역할,장면 조건,집필 지시문 없음,집필용 준비,표면 모방 위험,화수
33화 · 생존 동일시가 강자의 관용으로 읽히는 객잔 장면,REF-11,https://app.notion.com/p/3b2baa79eaae81e79cb1d74a24d9b2dd,처단 중지의 내적 이유와 주변의 도덕적 해석이 어긋남. 행동 결과는 실제 생존과 탁자 값 지불로 이어짐.,2026년 8월 4일 오후 9:29,2026년 8월 4일,35화 자소단 전달 장면과 함께 읽기. 냉혹함·이용으로 해석되는 반대 사례는 아직 미확보.,33화 58~84행,Yes,"정연신, 헌원창, 객잔 낭인과 관찰자들",시한부 천재가 살아남는 법,SCENE-1,"오해, 핵심","압도적 무력 우위, 모욕 이후 처단 가능 상태, 상대의 비굴한 생존 선택, 당사자의 내적 동일시를 주변이 알지 못함",Yes,핵심 범위 준비,중간,33화
35화 · 시간 비용 때문에 넘긴 자원이 대협의 행위로 읽히는 장면,REF-11,https://app.notion.com/p/3b2baa79eaae81e79cb1d74a24d9b2dd,자기 성장에 필요한 부분은 취하고 남은 기운을 전량 전달함. 외부 인물은 손실 없는 전달과 수혜 결과를 근거로 대인·대협으로 해석하며 말투와 보상 약속을 바꿈.,2026년 8월 4일 오후 9:29,2026년 8월 4일,33화 객잔 관용 오독 장면. 평판이 이후 의무나 압박으로 돌아오는 먼 후속은 미확보.,35화 26~110행,Yes,"정연신, 유현, 화산검절 천주, 마진",시한부 천재가 살아남는 법,SCENE-2,"오해, 핵심, 후속","비전 영약을 이미 복용한 상태, 온전한 체화에는 긴 시간이 필요함, 타인에게 기운을 넘길 수 있음, 주변은 당사자의 시간 계산을 모름",Yes,핵심 범위 준비,높음,35화
32화 · 유운패와 일회 협조권이 전과를 실제 접근권으로 바꾸는 장면,REF-11,https://app.notion.com/p/3b0baa79eaae81489c10f1d2699c51f2,전과가 칭찬으로 끝나지 않고 유운패·속가 문파의 예우·일회 정치 협조권으로 구체화된다. 정연신은 사양하지 않고 이후 임무와 지위 도전에 쓸 가능성을 계산한다.,2026년 8월 4일 오후 9:52,2026년 8월 4일,31~32화 공개 공적 귀속 장면 / 35화 총관부의 청색 승단 판정 장면,32화 176~206행,Yes,"정연신, 서천검공 구양신, 종남검선, 종남파 인물들",시한부 천재가 살아남는 법,SCENE-4,"핵심, 후속","외부 문파의 전쟁에 기여함, 승리 결과가 조직의 실익으로 이어짐, 수장이 보상을 판정할 수 있음, 주인공에게 이후 임무와 지위 도전이 남아 있음",Yes,핵심 범위 준비,중간,32화
31~32화 · 참수의 사실이 공개 공적과 전황 변화로 전환되는 장면,REF-11,https://app.notion.com/p/3b0baa79eaae81489c10f1d2699c51f2,참수의 사실만으로는 주변이 이해하지 못한다. 헌원창이 정연신의 소속과 전과를 공개 호명한 뒤 환호·전의·전황이 연속해서 바뀐다.,2026년 8월 4일 오후 9:52,2026년 8월 4일,32화 유운패·일회 협조권 장면 / 35화 총관부의 청색 승단 판정 장면,31화 432~454행 + 32화 4~78행,Yes,"정연신, 헌원창, 패검종주, 종남파·패검종 무인들",시한부 천재가 살아남는 법,SCENE-3,"핵심, 후속","상식 밖의 전과가 발생했지만 주변이 즉시 이해하지 못함, 공개 전장, 소속과 공적 귀속이 불명확함, 양측 사기가 흔들리는 순간",Yes,핵심 범위 준비,높음,31~32화
35화 · 누적 공적이 내부 관리자의 승단 판정으로 확인되는 장면,REF-11,https://app.notion.com/p/3b0baa79eaae81489c10f1d2699c51f2,칭찬이 아니라 총관부의 공적 분류 권한과 승단 조건이 먼저 제시된다. 정연신은 외부 소문보다 내부 관리자의 판정을 듣고 자신의 진전을 새롭게 체감한다.,2026년 8월 4일 오후 9:53,2026년 8월 4일,31~32화 공개 공적 귀속 장면 / 32화 유운패·협조권 보상 장면,35화 252~286행,Yes,"정연신, 총관부 도유원",시한부 천재가 살아남는 법,SCENE-6,"핵심, 후속","여러 임무의 공적이 이미 누적됨, 당사자는 대략적인 성과만 앎, 내부 인사 관리자가 분류와 점수를 알고 있음, 다음 승단에는 형식적 시험과 작은 임무가 남음",Yes,대비 포함 준비,낮음,35화
34화 · 첫 검격 실패 뒤 상대의 독문무공으로 표현 수단을 바꾸는 장면,REF-11,https://app.notion.com/p/3b2baa79eaae81ddb335c0f88ecb9af5,"첫 검격 실패를 숨기지 않고 보여 준 뒤 상대 무공의 목적과 투로를 관찰한다. 검을 집어넣고 같은 금나수의 상위 궤적으로 전환하며, 상대 수용은 교만에서 공황·갈망·절망으로 바뀐다.",2026년 8월 4일 오후 9:53,2026년 8월 4일,TH-REF11-CHR-01의 천재성 변형 / 같은 방식이 실패하거나 상대의 집념을 강화하는 반례는 미확보,34화 52~78행 + 128~206행,Yes,"정연신, 투귀",시한부 천재가 살아남는 법,SCENE-5,"이탈, 핵심","주력 검격이 처음 빗나감, 상대는 독문 금나수와 신법을 우월성의 근거로 삼음, 개인적 모욕과 관계 기억이 자극됨, 즉시 전투 중 수단을 바꿔야 함",Yes,대비 포함 준비,높음,34화
8화 · 검이 부러진 결과와 출수 판정을 분리하고 경쟁자가 깨달음까지 지켜 주는 장면,REF-11,https://app.notion.com/p/3b0baa79eaae81798183f137cff283b3,"구경꾼은 부러진 검을 패배로 보지만 남궁화신과 고수들은 출수 시점을 기준으로 반대로 판정한다. 남궁화신은 패배 선언 뒤 원한이나 변명 대신 다음 비무를 기약하고, 정연신의 깨달음이 끝날 때까지 호법을 선다.",2026년 8월 4일 오후 10:01,2026년 8월 4일,15화 첫 임무에서 정연신의 경공 부족과 실패가 그대로 드러나는 장면 / 남궁화신과의 후속 경쟁 관계,8화 50~176행 + 246~268행,Yes,"정연신, 남궁화신, 입황성 심사관과 고수들",시한부 천재가 살아남는 법,SCENE-9,"대비, 핵심, 후속","입문 시험의 공개 비무, 표면 결과는 정연신의 검 파손, 고수들은 출수 시점과 진기 운용을 별도로 판정함, 경쟁자는 다음 시험을 앞둠",Yes,대비 포함 준비,중간,8화
4~5화 · 죽였을 때의 후폭풍을 불확실하게 만들어 전력 차이를 멈추는 장면,REF-11,https://app.notion.com/p/3b0baa79eaae81cc8b2dcab0c3ccb638,"첫 손속에서 상대가 검 대신 수도를 쓴 사실로 자제 여부를 추론한다. 모욕과 공개 살해로 그 추론을 시험한 뒤, 소식망·양양까지의 거리·입황성 원로의 혈족이라는 불확실한 후폭풍을 구체화한다.",2026년 8월 4일 오후 10:01,2026년 8월 4일,5화 패검종주의 생존 판정과 비무 약속 / 같은 방식이 실패하거나 상대가 비용을 감수하는 반례는 미확보,4화 276~290행·364~402행 + 5화 20~146행,Yes,"정연신, 패검종주, 패검종·혈염교 무인, 정가장 총관, 종남파 무인",시한부 천재가 살아남는 법,SCENE-7,"미해결, 핵심","절대적인 전력 열세, 외가와 입황성의 실제 개입 가능성은 불명확함, 상대 역시 정치적 후폭풍의 범위를 확정하지 못함, 공개된 수장 앞에서 즉시 생사 결정을 받아야 함",Yes,대비 포함 준비,높음,4~5화
6화 · 사과로 화해하지 않고 다음 행동으로 관계를 다시 맡기는 작별,REF-11,https://app.notion.com/p/3b0baa79eaae81798183f137cff283b3,정중산은 사과로 화해를 완료하지 않고 다음 만남까지 형이 되겠다는 행동 과제를 맡는다. 정연신은 자질 부족과 조카 보호를 직접 요구한다. 총관의 충성은 사라진 장원보다 살아남은 사람과 가산 관리로 이동한다.,2026년 8월 4일 오후 10:01,2026년 8월 4일,5화 멸문 직후 생존자 배치 / 이후 정중산과 총관이 실제로 책임을 수행하는지 추적 필요,6화 30~96행,Yes,"정연신, 정중산, 정혜, 정가장 총관, 종남파 무인들",시한부 천재가 살아남는 법,SCENE-8,"미해결, 핵심","가족과 가문이 혈겁으로 붕괴함, 오랜 냉대와 책임 회피가 한 문장으로 해소될 수 없음, 생존자들이 서로 다른 장소로 떠나야 함",Yes,대비 포함 준비,중간,6화
10화 · 무공의 장점과 한계를 함께 설명하고 이해도에 따라 가르침을 달리하는 장면,REF-11,https://app.notion.com/p/3b0baa79eaae81798183f137cff283b3,마진은 마광결을 만능으로 포장하지 않고 깊이가 얕다는 약점을 먼저 인정한다. 생존 목적과 난전 전제를 설명한 뒤 헌원창에게는 몸으로 반복시키고 정연신에게는 핵심 확인 뒤 다음 오의를 제시한다.,2026년 8월 4일 오후 10:02,2026년 8월 4일,14화 첫 임무에서 상급자가 보호 책임을 맡는 장면 / 15화 실제 임무에서 부족함이 드러나는 장면,10화 204~278행 + 290~318행,Yes,"정연신, 헌원창, 마진",시한부 천재가 살아남는 법,SCENE-10,"대비, 핵심","새 조직의 정식 교육, 같은 무공을 서로 다른 이해도의 신입 둘이 배움, 지도자가 무공의 효용과 약점을 모두 알고 있음",Yes,대비 포함 준비,중간,10화
