표현 단위명,REF 코드,단위 유형,마지막 검토,상태,식별자 비노출,없으면 사라지는 것,원문 위치,원본 표현 장면,익명 원문 단위,작동 결과,정리문 제외,직전 배치,직후 배치,표면 모방 위험,표현 목적
감정 논쟁을 끊고 결정권만 확정하는 문장,REF-11,대사,2026년 8월 4일,준비,Yes,이 문장이 없으면 갈등이 감정적 꾸지람에 머물고 실제 개입권 박탈이 확정되지 않는다.,48화 16717~16757행,혈연의 요구를 조직 결정권으로 끊고 보호 명령을 남기는 장면 (%ED%98%88%EC%97%B0%EC%9D%98%20%EC%9A%94%EA%B5%AC%EB%A5%BC%20%EC%A1%B0%EC%A7%81%20%EA%B2%B0%EC%A0%95%EA%B6%8C%EC%9C%BC%EB%A1%9C%20%EB%81%8A%EA%B3%A0%20%EB%B3%B4%ED%98%B8%20%EB%AA%85%EB%A0%B9%EC%9D%84%20%EB%82%A8%EA%B8%B0%EB%8A%94%20%EC%9E%A5%EB%A9%B4%203b2baa79eaae81cb8114cd970c43ed01.csv),“주인공의 일은 내가 정한다. 너는 이제 혈족의 권위를 앞세우지 마라.”,가문의 가치가 옳은지 논박하지 않고 누가 결정할 수 있는지만 바꾼다.,Yes,원로 A가 자기 집착을 인정하면서도 가문의 영속을 근거로 개입을 계속한다.,조직 수장 A는 현장 지휘자 A에게 주인공 보호 임무를 별도로 부여한다.,중간,"거절, 관계 단절, 권한 이동"
사과 수령과 용서를 분리하는 절차적 답변,REF-11,대사,2026년 8월 4일,준비,Yes,"명시적 수령이 없으면 큰절이 일방적 독백으로 남고, 뒤 문장이 없으면 장면이 감정적 화해로 늘어질 수 있다.",91화 32770~32840행,용서를 구하지 않는 사과가 예정된 적대와 공존하는 장면 (%EC%9A%A9%EC%84%9C%EB%A5%BC%20%EA%B5%AC%ED%95%98%EC%A7%80%20%EC%95%8A%EB%8A%94%20%EC%82%AC%EA%B3%BC%EA%B0%80%20%EC%98%88%EC%A0%95%EB%90%9C%20%EC%A0%81%EB%8C%80%EC%99%80%20%EA%B3%B5%EC%A1%B4%ED%95%98%EB%8A%94%20%EC%9E%A5%EB%A9%B4%203b2baa79eaae8112a432f71dbd33bff1.csv),“사과는 받은 것으로 하겠습니다. 일어나 용무를 말씀하시지요.”,사과의 수령 여부만 정산하고 죄의 소멸·화해·전투 취소는 승인하지 않는다.,Yes,조직 후계자 A가 큰절과 함께 감사·조직 책임·자기 위안의 동기를 분리하고 용서를 구할 수 없다고 말한다. 주인공은 차를 한 모금 마신다.,둘은 예정된 적대와 비무 준비로 돌아간다.,높음,"관계 단절, 사과, 책임 수용"
거절 뒤 관계 문을 다시 여는 두 문장,REF-11,대사,2026년 8월 4일,준비,Yes,"첫 문장이 없으면 수락이 값싼 호의가 되고, 둘째 문장이 없으면 관계가 완전 거절로 닫힌다.",24화 8059~8105행,패배 고백 뒤 교분 요청을 조건부로 수락하는 장면 (%ED%8C%A8%EB%B0%B0%20%EA%B3%A0%EB%B0%B1%20%EB%92%A4%20%EA%B5%90%EB%B6%84%20%EC%9A%94%EC%B2%AD%EC%9D%84%20%EC%A1%B0%EA%B1%B4%EB%B6%80%EB%A1%9C%20%EC%88%98%EB%9D%BD%ED%95%98%EB%8A%94%20%EC%9E%A5%EB%A9%B4%203b2baa79eaae8160945efc957e8fc8c6.csv),“거기까지 일부러 갈 일은 없다.” / “네가 찾아온다면 거절하지는 않아. 대신 그때마다 새로운 무공을 익혀 와.”,주인공의 시간 비용을 숨기지 않으면서도 관계 가능성은 남긴다. 친밀감보다 만남의 조건이 먼저 확정된다.,Yes,경쟁자 A가 첫 패배의 충격과 또래 관계 욕구를 고백하고 교분을 청한다.,"거절에 굳었던 상대의 표정이 조건부 수락 뒤 밝아지고, 곧바로 무학 대화가 이어진다.",중간,"거절, 관계 시작, 조건부 수락"
해결 불가능한 선택 뒤 시간을 함께 부담하는 행동,REF-11,행동,2026년 8월 4일,준비,Yes,이 행동이 없으면 주인공의 현실적 판단이 옳더라도 관계적으로는 차갑게 결정을 떠넘긴 장면이 된다.,93화 33620~33670행,해결책을 주지 않고 오래 곁에 머무는 장면 (%ED%95%B4%EA%B2%B0%EC%B1%85%EC%9D%84%20%EC%A3%BC%EC%A7%80%20%EC%95%8A%EA%B3%A0%20%EC%98%A4%EB%9E%98%20%EA%B3%81%EC%97%90%20%EB%A8%B8%EB%AC%B4%EB%8A%94%20%EC%9E%A5%EB%A9%B4%203b2baa79eaae81448ab0e29989570542.csv),그날 주인공은 한참 동안 동료의 곁에 묵묵히 있어 주었다.,해결책을 대신 제공하지 않으면서 선택의 감정 비용을 혼자 떠안게 두지 않는다.,Yes,동료 A는 복수 기회를 당장 포기하는 제안을 오래 숙고한 뒤 받아들인다.,별도의 위로나 성공 약속 없이 시간이 흐르고 다음 날의 비무 준비로 넘어간다.,낮음,"책임 수용, 침묵, 한계 인정"
협상 중 용서 불가를 확정하는 짧은 판정,REF-11,대사,2026년 8월 4일,준비,Yes,이 판정이 없으면 장면이 단순한 휴전이나 관계 완화로 읽힐 수 있다.,84화 30240~30310행,용서하지 않은 채 생존 조건만 거래하는 장면 (%EC%9A%A9%EC%84%9C%ED%95%98%EC%A7%80%20%EC%95%8A%EC%9D%80%20%EC%B1%84%20%EC%83%9D%EC%A1%B4%20%EC%A1%B0%EA%B1%B4%EB%A7%8C%20%EA%B1%B0%EB%9E%98%ED%95%98%EB%8A%94%20%EC%9E%A5%EB%A9%B4%203b2baa79eaae81cdb523ccbcff40acad.csv),“네가 만든 원한이야. 넌 내 손에 죽는다.”,생존 협상과 관계 판정을 분리한다. 거래가 곧 용서라는 오독을 차단한다.,Yes,주인공은 구결 일부와 상대의 이탈 거리를 교환하는 실용적 조건을 제시한다.,포획자 A는 오래 응시한 뒤 감정 반박 대신 구결 분량을 흥정하고 거래를 성립시킨다.,중간,"거절, 관계 단절, 정보 공개"
이해하지 못하는 고통 앞에서 유지되는 무응답,REF-11,침묵,2026년 8월 4일,준비,Yes,위로 대사로 대체하면 주인공이 이해하지 못하는 고통을 성급히 소유하는 인상으로 바뀔 수 있다.,85화 30690~30755행,고통을 이해하지 못해 침묵으로만 공감하는 장면 (%EA%B3%A0%ED%86%B5%EC%9D%84%20%EC%9D%B4%ED%95%B4%ED%95%98%EC%A7%80%20%EB%AA%BB%ED%95%B4%20%EC%B9%A8%EB%AC%B5%EC%9C%BC%EB%A1%9C%EB%A7%8C%20%EA%B3%B5%EA%B0%90%ED%95%98%EB%8A%94%20%EC%9E%A5%EB%A9%B4%203b2baa79eaae8190a31cf2e8e3ec6502.csv),주인공은 아무런 말도 하지 않았다.,해결자·위로자의 자리를 차지하지 않고 듣는 사람으로 남는다.,Yes,동료 A의 손 떨림과 입술 경련이 강제 복종과 가족 상처의 신체 증거로 제시된다.,"주인공은 같은 고통은 모르지만 고독은 안다고 내부적으로 범위를 제한하고, 동료 A는 작게 웃은 뒤 불침번을 맡는다.",낮음,"감정 은폐, 책임 수용, 침묵"
반복 사과 뒤에도 반격 계산을 남기는 내부 행동,REF-11,서술 판정,2026년 8월 4일,준비,Yes,반격 계산이 없으면 반복 사과가 실제 신뢰 회복처럼 읽힐 수 있다.,65~66화 23066~23106행,반복 사과가 신뢰 회복 없이 즉시 협업으로 덮이는 장면 (%EB%B0%98%EB%B3%B5%20%EC%82%AC%EA%B3%BC%EA%B0%80%20%EC%8B%A0%EB%A2%B0%20%ED%9A%8C%EB%B3%B5%20%EC%97%86%EC%9D%B4%20%EC%A6%89%EC%8B%9C%20%ED%98%91%EC%97%85%EC%9C%BC%EB%A1%9C%20%EB%8D%AE%EC%9D%B4%EB%8A%94%20%EC%9E%A5%EB%A9%B4%203b2baa79eaae81768ac4f60756aa8c0c.csv),포획자 A는 금세 밝아져 소매를 잡았다. 주인공은 그 손을 부술 방법을 계산했다.,한쪽은 화해로 오해하고 다른 쪽은 생존을 위해 협업하는 비대칭 관계를 한 문장 쌍으로 고정한다.,Yes,포획자 A가 위협 직후 사과를 반복하고 산책·기술 관찰 제안을 기쁘게 받아들인다.,표면상 협업이 이어지지만 다음 날 주인공은 실제 탈출 수단을 확보한다.,중간,"감정 은폐, 사과, 오해 형성, 정보 은폐"
패배 판정 뒤 한 박자 늦게 나오는 두려움 고백,REF-11,대사,2026년 8월 4일,준비,Yes,"두려움이 빠지면 패배 인정이 의례적인 전문 판정에 머물고, 이후 권리 교환의 인간적 무게가 약해진다.",39화 13348~13384행,두려움까지 포함한 패배 인정이 상호 청구권으로 이어지는 장면 (%EB%91%90%EB%A0%A4%EC%9B%80%EA%B9%8C%EC%A7%80%20%ED%8F%AC%ED%95%A8%ED%95%9C%20%ED%8C%A8%EB%B0%B0%20%EC%9D%B8%EC%A0%95%EC%9D%B4%20%EC%83%81%ED%98%B8%20%EC%B2%AD%EA%B5%AC%EA%B6%8C%EC%9C%BC%EB%A1%9C%20%EC%9D%B4%EC%96%B4%EC%A7%80%EB%8A%94%20%EC%9E%A5%EB%A9%B4%203b2baa79eaae81489164c8cfdbe422f3.csv),“나 역시 소협을 이기지 못했소. 솔직히······ 두렵기도 했소.”,패배를 기술 판정에서 감정 고백으로 확장하되 자기 비하로 끝내지 않는다.,Yes,양측이 전투 중단 기준을 합의하고 주인공이 배운 점을 인정한다.,수행자 A는 두려움의 이유를 구체화하고 미래 부탁 한 번을 들어주겠다는 상호 권리를 제안한다.,낮음,"정보 공개, 책임 수용, 패배 인정"
선택 확신을 다음 회차 첫 문단에서 과거형 가설로 되돌리는 서술 판정,REF-46,문단 종료,2026년 8월 5일,준비,Yes,"직전 화말의 선택이 현재도 유효한 정답처럼 굳어져, 이후 현실 반례가 선택의 자연스러운 검증이 아니라 갑작스러운 배신처럼 보일 수 있다.","3화 1,211~1,223행 + 4화 1,225~1,235행",기억 속 선택지를 현실 비용으로 다시 계산하고 확신을 다음 회차에서 재개방하는 장면 (%EA%B8%B0%EC%96%B5%20%EC%86%8D%20%EC%84%A0%ED%83%9D%EC%A7%80%EB%A5%BC%20%ED%98%84%EC%8B%A4%20%EB%B9%84%EC%9A%A9%EC%9C%BC%EB%A1%9C%20%EB%8B%A4%EC%8B%9C%20%EA%B3%84%EC%82%B0%ED%95%98%EA%B3%A0%20%ED%99%95%EC%8B%A0%EC%9D%84%20%EB%8B%A4%EC%9D%8C%20%ED%9A%8C%EC%B0%A8%EC%97%90%EC%84%9C%20%EC%9E%AC%EA%B0%9C%EB%B0%A9%ED%95%98%EB%8A%94%20%EC%9E%A5%EB%A9%B4%203b2baa79eaae8173ab83ed865f433033.csv),직전 화말에서는 주인공이 가장 합리적인 선택을 했다고 확정한다. 다음 회차 첫 문단은 그 판단을 ‘그 지식과 육체면 충분히 살아남을 수 있다고 믿었다’는 과거형으로 바꾼다.,"확신을 취소하지 않으면서도 현재의 정답 지위를 박탈해, 곧 이어질 현실 반례를 검증 결과로 읽게 한다.",Yes,생계·신체·죽음 비용을 모두 비교한 뒤 위험 구역 진입을 가장 합리적인 선택으로 확정하는 화말.,현실 전투가 시작되며 게임 지식에 포함되지 않은 감각·공포·신체 반응이 드러난다.,중간,"시간 압박, 한계 인정"
전날 기준으로 갱신한 지도 복사본을 전원에게 배포하는 발화와 행동,REF-46,대사,2026년 8월 5일,준비,Yes,"지도가 단순한 배경 소품이나 지휘자 개인의 기억으로 남아, 탐험 지식이 날짜·복사·배포를 갖춘 공용 버전 자산으로 전환됐다는 사실이 사라진다.","618화 298,409~298,419행",대규모 조직을 기능 책임자·정기 보고·갱신 지도로 재편해 개인 경험을 공용 자산으로 만드는 장면 (%EB%8C%80%EA%B7%9C%EB%AA%A8%20%EC%A1%B0%EC%A7%81%EC%9D%84%20%EA%B8%B0%EB%8A%A5%20%EC%B1%85%EC%9E%84%EC%9E%90%C2%B7%EC%A0%95%EA%B8%B0%20%EB%B3%B4%EA%B3%A0%C2%B7%EA%B0%B1%EC%8B%A0%20%EC%A7%80%EB%8F%84%EB%A1%9C%20%EC%9E%AC%ED%8E%B8%ED%95%B4%20%EA%B0%9C%EC%9D%B8%20%EA%B2%BD%ED%97%98%EC%9D%84%20%EA%B3%B5%EC%9A%A9%20%EC%9E%90%EC%82%B0%EC%9C%BC%EB%A1%9C%20%EB%A7%8C%EB%93%9C%EB%8A%94%203b2baa79eaae81c8aeebfa2de7e8b778.csv),"지도 책임자가 모든 대원에게 복사본을 가져가라고 말한 뒤, 그것이 전날 기준으로 최신 갱신된 지도라고 덧붙인다.","개별 탐사 결과가 최신성 기준을 가진 공용 문서로 바뀌고, 모든 대원이 같은 공간 정보를 기준으로 움직이게 된다.",Yes,수색대가 복잡한 이동 구조를 장기간 추적하며 구조도를 계속 확장한다.,총지휘자는 관제실에서 보고와 화면을 통해 현장 탐사를 확인한다.,낮음,"전승, 정보 공개"
